相談内容,回答内容,回答に使用したQA資料
高校の奨学制度について,滋賀県内の高校奨学制度として、国公私立を問わず授業料の支援を受けられる国の制度「高等学校等就学支援金」があります。返済不要で、学校を通して申請し、授業料に充当されます。また、授業料以外の教育費を対象とする「高校生等奨学給付金」があり、生活保護世帯や非課税世帯を対象に給付金が支給されます。詳しい手続きや対象は滋賀県教育委員会または学校を通じて案内されます。,"[{""sid"": ""S3"", ""question"": ""子育て応援シリーズ 5　滋賀県の高等学校等について"", ""answer"": ""日本の義務教育は中学校までなので、高校に進学するかどうかは本人の意思によります。高校に進学すると大学や専門学校への道がひらけ、将来の仕事の選択肢も増えます。ただ中学校と違い、成績や出席状況によっては必要な単位がとれず、留年や卒業できないこともあるので気を付けましょう。\n高等学校には学習の形態により次のようなものがあります。\n全日制：中学校と同様、午前中からはじまり、昼食をはさんで午後まで授業があります。３年制。\n定時制：昼間と夜間の部の特定の時間帯に学習します。４年、または３年で卒業できます。\n通信制：主に自宅で教材を学習し、レポートを提出します。面接指導のため登校することもあります。４年、または３年で卒業できます。\n滋賀県内にある高等学校等の紹介\n- 滋賀県立高校の情報はこちら → 夢の設計図（日本語・ポルトガル語・スペイン語・中国語・タガログ語） (https://www.pref.shiga.lg.jp/edu/school/tokusyoku/104806.html)\n- 滋賀県私立高等学校の情報はこちら → 滋賀県私立高等学校の情報 (https://shiga-shigaku.com/school)\n- 滋賀県立高等技術専門校（テクノカレッジ）\n- 専修学校等　実践的な職業教育や専門的な技術教育を受けられます。中学卒業で入学できる高等課程をもつ学校\n授業料やその他の教育費の支援制度の紹介\n高等学校等就学支援金：国公私立にかかわらず高校の授業料の支援を受けられる国の制度です。（返済不要）学校を通して申請し、保護者に直接支給されるのではなく、学校が受け取り授業料に充当されます。\n高校生等奨学給付金\n授業料以外の教育費を対象に給付金が支給されます。（返済不要）\n対象：高校生がいる生活保護世帯と非課税世帯が申請できます。\n奨学制度\n経済的に勉強をつづけることが困難な人のために、学費を援助する奨学制度があります。\n「滋賀県奨学資金」、「滋賀県高等学校等定時制課程および通信制課程就学奨励金」については在学する高等学校または県教育委員会の教育総務課（077-528-4587）に相談してください。また滋賀県社会福祉協議会（077-567-3903）で生活福祉資金貸付（教育支援資金）の相談も随時できます。\n滋賀県公立高等学校の入学者選抜が2026年度４月入学予定者から新制度に変わります！\nこれまで「推薦選抜」、「スポーツ・文化芸術推薦選抜」、「特色選抜」、「一般選抜」の４つの受検方法でしたが、新制度では受検生の負担を減らすため「一般型選抜」と「学校独自型選抜」の２つになり、一度の受検で２つを併願できるようになります。すべての受検生（全日制・定時制）が２月下旬に学力検査（５教科：国語・数学・社会・理科・外国語（英語））を受けます。\nこのほかWeb出願システムに変わります。\n詳しくは学校や滋賀県教育委員会のHPで確認してください。""}]"
サッカー教室など,滋賀県国際協会の情報には、サッカー教室に関する具体的な記載はありません。公民館・市民センターの教室として体操や運動系の教室が案内されていますが、サッカー教室の記載は見当たりません。（S2参照）,"[{""sid"": ""S2"", ""question"": ""公民館の活動を知ってますか？　～新しい事にチャレンジ！～"", ""answer"": ""公民館や市民センターは、市民が自主グループの学習活動や集会など、公共目的で利用できる施設です。パソコン教室や健康教室、ヨガ、習字、生け花、英会話等の教室、子どもの居場所づくりなど、住民が自分たちでサークル活動を行ったり、住民のための生涯講座が開催されています。安価で気軽に参加でき、地域の友達もできますよ。市役所や公民館などに訊ね、どんな活動があるのか覗いてみましょう！スポーツが好きな人には、市立や県立の体育館などで、体操や柔道、バドミントン、卓球、バレーボール、水泳などの教室やサークル活動が行われています。市役所等に訊ねてみましょう。""}]"
学校書類の記入,滋賀県教育委員会事務局などの学校書類に関する具体的な記入方法は、各書類の提出先や用途によって異なります。記入時は、氏名・生年月日・住所・連絡先などの基本情報を正確に記入し、所定の欄には読みやすく丁寧に記入してください。必要書類は、提出先の案内に従い、押印・捺印が必要な場合は印鑑を用意してください。分からない点は、滋賀県教育委員会事務局または所属校の事務担当へ問い合わせてください。問い合わせ先の情報は以下のとおりです：滋賀県教育委員会事務局 077-528-4573。,"[{""sid"": ""S1"", ""question"": ""高校の入学"", ""answer"": ""一般の日本の高校へ入学するためには、入学試験に合格しなければなりません。\n応募資格\n年齢が入学しようとする年の4月1日までに15才に達していること。\n原則として、外国で9年間の学校教育を終了しているか、日本の中学校を卒業、又は卒業見込であること。\n入学の問い合わせ\n滋賀県教育委員会事務局 ： 077-528-4573""}]"
バセドー病の医療費支援,滋賀県国際協会の情報には、バセドー病（甲状腺機能亢進症）に特化した医療費支援の記載はありません。医療費支援については、協会けんぽの健康診断補助や障害者手帳関連の支援、災害共済給付制度などが挙げられていますが、バセドー病に対する個別の医療費助成の情報は含まれていません。病状に応じた医療費の支援については、市町の福祉窓口やかかりつけ医・健診窓口、協会けんぽ滋賀支部へご確認ください。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ４】生活習慣病にならないために"", ""answer"": ""食生活が乱れると、糖尿病や高血圧、心筋梗塞など「生活習慣病」といわれる病気に繋がることがあります。「生活習慣病」になると治療が長期にわたり、医療費がとても高額になることが多く、仕事にも支障がでてきます。\nそうならないためには、１年に１度は健診機関で身体の状況をチェックする「健康診断」を受けることが大事です。身体の異常を早期発見することができれば、将来の医療費負担を抑えることができます。\n日本に来て、今まで食べ慣れた食事を食べることが難しくなり、食生活が変わったという方もいらっしゃるのではないでしょうか。\n食生活の変化で主食などが変わると、体内に取り入れていた栄養バランスも今までと違ってきます。なかなか自分では気づきにくい身体の変化を、健康診断でチェックしてみてはいかがでしょうか。\n【健康診断にも費用の補助がある】\n協会けんぽでは、医療費以外にも健康診断の費用の補助をしています。\n協会けんぽの健康診断は病気の発見や早期治療はもちろん、生活習慣病を予防することを目的に行っています。\n協会けんぽ加入の会社にお勤めしている35～74歳の方であれば詳細な健診が約7,000円で受けることができます。またその加入者家族の方（40～74歳）であれば、血液検査などの簡単な健診を0円～約1500円（受診方法により費用が異なります）で受けることができます。\n健診をご希望の方は、健診機関か協会けんぽ滋賀支部（日本語対応のみ）までお電話にてお問合わせください。\nその他健診に関しての詳細は協会けんぽHPをご確認ください。\n★また会社にお勤めでない方も、お住いの市町で健康診断の補助が受けられる場合があります。""}, {""sid"": ""S2"", ""question"": ""【健康保険シリーズ４】生活習慣病にならないために"", ""answer"": ""食生活が乱れると、糖尿病や高血圧、心筋梗塞など「生活習慣病」といわれる病気に繋がることがあります。「生活習慣病」になると治療が長期にわたり、医療費がとても高額になることが多く、仕事にも支障がでてきます。\nそうならないためには、１年に１度は健診機関で身体の状況をチェックする「健康診断」を受けることが大事です。身体の異常を早期発見することができれば、将来の医療費負担を抑えることができます。\n日本に来て、今まで食べ慣れた食事を食べることが難しくなり、食生活が変わったという方もいらっしゃるのではないでしょうか。\n食生活の変化で主食などが変わると、体内に取り入れていた栄養バランスも今までと違ってきます。なかなか自分では気づきにくい身体の変化を、健康診断でチェックしてみてはいかがでしょうか。\n【健康診断にも費用の補助がある】\n協会けんぽでは、医療費以外にも健康診断の費用の補助をしています。\n協会けんぽの健康診断は病気の発見や早期治療はもちろん、生活習慣病を予防することを目的に行っています。\n協会けんぽ加入の会社にお勤めしている35～74歳の方であれば詳細な健診が約7,000円で受けることができます。またその加入者家族の方（40～74歳）であれば、血液検査などの簡単な健診を0円～約1500円（受診方法により費用が異なります）で受けることができます。\n健診をご希望の方は、健診機関か協会けんぽ滋賀支部（日本語対応のみ）までお電話にてお問合わせください。\nその他健診に関しての詳細は協会けんぽHPをご確認ください。\n★また会社にお勤めでない方も、お住いの市町で健康診断の補助が受けられる場合があります。""}, {""sid"": ""S3"", ""question"": ""障害者手帳を取得すると次のようなサービスを受けられます"", ""answer"": ""自立支援医療\n心身の障害を除去・軽減するための医療について、医療費の自己負担額が軽減されます。\n障害福祉サービス\n居宅介護、重度訪問介護、行動援護、同行援護、短期入所、グループホーム、療養介護、生活介護、施設入所支援などがあります。\n障害児通所支援給付サービス\n児童発達支援、医療型児童発達)支援、放課後等デイサービスなどがあります。\n福祉手当\n手帳の区分及び等級等に応じ、手当や年金が支給される場合があります。（所得制限などあり。重複して手当等受給できない場合があります）\nその他\n各種所得控除、公共施設の利用料の減免、交通機関の運賃割引、公営住宅の優先入居どがあるほか、就労支援や就職時に障害に応じた配慮を受けやすくなることがあります。""}, {""sid"": ""S4"", ""question"": ""[小学校デビューQ＆A]  学校でのケガなどが心配…補償などありますか？"", ""answer"": ""子どもが幼稚園・保育園から高校までの間、学校等の施設の管理下（保育・授業中、課外活動中、休憩時間中、通学中など）においてケガなどをした場合、「災害共済給付制度（日本スポーツ振興センター）」から医療費や見舞金が受け取れます。学年の年度初めに学校等から案内があります。保護者の掛金は年額で数百円程度です。""}, {""sid"": ""S5"", ""question"": ""【健康保険シリーズ７】大きな病院にかかるときは注意が必要です"", ""answer"": ""【選定療養費の改正について】\n2022年10月から国の制度が見直しとなり、紹介状なしで大病院を受診するときの医療費負担が大きくなりました。\n初診　５，０００円　→　７，０００円（税別）\n再診　２，５００円　→　３，０００円（税別）\nこの金額は健康保険の対象外です。高額療養費にも含まれません。大病院とは大学病院や、おおむね２００床以上の病院のことです。日本の病院は、病院の規模などに応じた役割分担をすすめています。\n軽症の患者が初めから大病院を受診してしまうと、本来大病院で治療するべき重症患者の受診や入院患者への対応が妨げられてしまいます。\n紹介状をもたず大病院を受診した場合は、通常の医療費の他に７，０００円以上の特別な料金がかかりますので、注意してください。\nまずお住まいの地域の診療所を受診し、必要に応じ大病院の紹介を受けてください。""}]"
再入国許可について,滋賀県国際協会の情報を根拠に事実ベースで回答します。再入国許可に関する記載はS1に関連情報が含まれており、在留期間経過後の不法滞在時の扱いなどが提示されています。S1には「不法滞在となった場合、原則として5年間は日本への再入国ができません。退去強制の事由次第で永久に入国できない場合もあり得る」との説明があります。従って、在留期間切れ後に不法滞在となると再入国許可の新規取得は困難となるケースが多く、5年間の再入国禁止などの制約が生じる可能性があります。新たな在留を取得する場合は、適切な出入国管理手続きを踏む必要があり、個別の状況により対応が異なります。なお、滋賀県在住の方の在留手続き情報や窓口はS2に記載されています。,"[{""sid"": ""S1"", ""question"": ""在留期間を経過するとどうなるのですか？"", ""answer"": ""在留期間が経過すると入国管理法における「不法滞在」になります。この場合、原則として5年間は日本への再入国ができません。退去強制処分を受けた事由（犯罪行為の種類、刑の軽重等）によっては、永久に入国できない場合もあります。\n退去強制\n在留期間切れのまま、故意にとどまっている場合に適用されます。自主出頭の場合と逮捕された場合で手続き等が異なります。\n自主出頭の場合\n警察に捕まる前に入国管理局に出頭した場合、起訴はされずに自分で帰国することになります。\n逮捕された場合\n入国管理法違反ということで、10日以内に入国管理局に引き渡される場合と起訴される場合があります。起訴された場合は裁判になりますので、判決が出るまで通常約１カ月半、拘置所又は警察署で拘置された後、入国管理局に移管され、強制送還となります。\n通常出国\n本人が病気等、やむを得ない事でごく短期間「不法滞在」の状態になっている場合は、期間更新の手続きをとり、その後出国することになります。""}]"
弁護士相談について,滋賀県国際協会の情報のみを根拠に回答します。弁護士相談に関する窓口として、法テラス（日本司法支援センター）を案内します。法テラスには multilingual ダイヤルがあり、電話番号は0570-078-377（多言語）、0570-078-374（日本語）、03-5366-6008（多言語ダイヤル）です。滋賀県内の対応窓口としては法テラス滋賀の連絡先があり、住所は大津市浜大津1-2-22 大津商中日生ビル5F、電話番号は050-3383-5454です。また、弁護士を依頼する際には、当番弁護士制度を利用でき、滋賀弁護士会の当番弁護士専用電話は077-522-2013です。国選弁護人の制度もあり、起訴後に経済的事情がある場合は国選弁護人を依頼できます。必要に応じて法テラスの多言語ダイヤルに連絡してください。,"[{""sid"": ""S1"", ""question"": ""法律についての相談は"", ""answer"": ""法テラス\n℡　0570-078374（日本語）\n℡　0570-078377（英語、中国語、韓国語、スペイン語、ポルトガル語、ベトナム語、タガログ語)\n℡　03-5366-6008（多言語ダイヤル）\n法テラス滋賀\n大津市浜大津1-2-22　大津商中日生ビル５Ｆ\n℡　050-3383-5454\n滋賀弁護士会\n大津市梅林１-３-３""}, {""sid"": ""S2"", ""question"": ""刑事事件を起こしてしまったら （事件・事故）"", ""answer"": ""被疑者の権利\n被疑者の権利として３つの権利が保障されています。\n1. 事実を知る権利\n2. 黙秘権\n3. 弁護人依頼権\n当番弁護士制度\n警察に逮捕、拘留された被疑者や家族の求めに応じて弁護士会が速やかに弁護士を被疑者のところに派遣する「当番弁護士」の制度があります。要請する場合ははっきりと申し出てください。\n滋賀弁護士会　当番弁護士専用電話　　TEL　077-522-2013\n民事法律扶助制度\n経済的に困っている人には、日本司法支援センター　(法テラス)　がありますので、当番弁護士が接見に来た際に相談してください 。\n法テラス [多言語ダイヤル]　TEL 0570-078-377\n法テラス [多言語] (http://www.houterasu.or.jp/multilingual/)\n国選弁護人\n起訴後、被告人は裁判のための弁護人を依頼することができます。経済的に無理な場合は、依頼すれば政府の国選弁護人をつけてくれます。""}]"
子ども在留資格について,滋賀県在住の外国人の在留資格については、在留資格ごとに活動内容が厳格に規定されています。詳しい在留手続きや新しい在留資格への移行については、出入国在留管理庁の公式情報を参照してください。滋賀県在住者は大阪入国管理局大津出張所で手続きが行われます。,"[{""sid"": ""S2"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
外国での離婚の公式承認,滋賀県国際協会の情報のみを根拠に事実ベースで回答します。外国での離婚の「公式承認（認定・承認）」について、提供されたS1の情報には直接の記載がありません。一般的には、日本国内法に従い、離婚が成立した国の法律や証書の国際的な効力、外国公文書の日本での認証手続き（公証・翻訳等）に関わる扱いとなります。離婚の準拠法や国内での法的手続きについてはS1に記載された内容をご参照ください。外国での離婚の公式承認に関する具体的な手続きや要件については、在日公館や法務局・家庭裁判所等の公式窓口へ個別にご確認ください。,"[{""sid"": ""S1"", ""question"": ""離婚届"", ""answer"": ""- それぞれの夫婦が離婚する場合、どの国の法律が適用されるかという準拠法に深くかかわってきます。\n- 日本では、離婚の準拠法について、第一に夫婦の本国方が同一の時はその法律（共通本国法）により、第二にその共通本国法がない場合において夫婦の常居所地法が同一であるときはその法律によるが、第三にそのいずれの法律もない時は夫婦にもっとも密接な関係のある地の法律（密接関連法）による、とされていますが、これには例外があって、夫婦の一方が日本に常居所がある日本人であるときは、日本の法律によって決められます。\n- 日本の法律が適用される場合、協議離婚をすることができます。協議が成立しない場合は、家庭裁判所の調停や審判による離婚、地方裁判所の判決による離婚のいずれの方法もとることができます。\n- 各国の離婚に関する法律については、各在日公館にお問い合わせください。""}]"
低所得世帯に関する問い合わせ,低所得世帯に関する問い合わせには、生活福祉資金教育貸付（教育支援金）などの公的制度を案内します。具体的には、生活福祉資金教育貸付（教育支援金）は無利子で対象者は低所得者世帯、連絡先は滋賀県社会福祉協議会 TEL：077-567-3903です。就学支援制度として高等学校等就学支援制度、就学援助制度、児童手当、教育費の無償化などがあり、該当する場合は所属する市町や学校へ問い合わせます。教育一般貸付（国の教育ローン）は有利子です。詳細・申請時期は各制度の問合せ窓口へ確認してください。,"[{""sid"": ""S1"", ""question"": ""教育資金貸付制度、教育ローン"", ""answer"": ""＊在留資格について、制約がある場合があります。\n金利、返済期間等について、確認してから借りましょう。\n生活福祉資金教育貸付 (教育支援金)\n[対象者] 低所得者世帯\n[連絡先・備考] 滋賀県社会福祉協議会 　 TEL：077-567-3903\n＊無利子\nひとり親家庭・寡婦福祉資金の修学資金、就学支度金の貸付\n[対象者] 母子父子家庭\n[連絡先・備考]\n滋賀県健康医療福祉部子ども・青少年局 TEL：077-528-3554\n大津市在住者は大津こども家庭課　 TEL：077-528-2686\n＊無利子\n教育一般貸付 国の教育ローン\n[連絡先・備考]\n日本政策金融公庫 (https://www.jfc.go.jp/n/finance/search/ippan.html)\n教育コールセンター TEL：0570-008656\n＊有利子\n銀行の教育ローン\n[連絡先・備考] 各銀行（銀行により金利が異なります）\n＊有利子""}]"
書類の翻訳について,滋賀県国際協会の情報のみを根拠にすると、書類の翻訳に関する具体的な案内は提供されていません。年末調整の各種申告書（外国語版）は国税庁のウェブサイトに掲載されていますが、翻訳の実務的な手順や翻訳サービスの情報は記載されていません。そのため、翻訳については国税庁の外国語版申告書を参照することをおすすめします。,"[{""sid"": ""S1"", ""question"": ""郵便局について"", ""answer"": ""以下の関連ページに各言語で案内があります。""}]"
奨学金の返済について,滋賀県国際協会の情報に基づくと、奨学金には給付型と貸与型があり、返済の有無は奨学金の種類によって異なります。日本学生支援機構（JASSO）には給付型と貸与型があり、貸与型は返済が必要です。また、地方自治体や大学独自の奨学金もあり、貸与・給付の区別は募集により異なります。重複受給の可否や審査基準は奨学金ごとに異なるため、希望校の担当窓口や公式情報で最新の返済条件を確認してください。,"[{""sid"": ""S1"", ""question"": ""奨学金"", ""answer"": ""各大学での奨学生の募集は、入学後、４月、５月に行われることが一般的ですが、入学前に予約型奨学金の募集をする大学もあります。このため、希望校が決まれば、早めに奨学金の情報を収集しましょう。\n奨学金には、大きく分けて、（1）日本学生支援機構の奨学金（2）各大学が独自に設けている奨学金（3）民間企業や財団法人などの奨学金（4）地方自治体の奨学金があります。募集対象や受給条件はまちまちですが、世帯の経済状況、学力や専攻分野などが審査基準になることが多いです。奨学金には返済の必要のない「給付」と返済が必要な「貸与」の二種類があります。また重複して受給できない奨学金もあります。学校の担当課やホームページなどで情報を収集しましょう。\n＊在留資格について、制約がある場合があります。\n日本学生支援機構（JASSO）\n[対象者] 大学院・大学・短期大学・高等専門学校・専修学校(専門課程)に在学する学生\n日本学生支援機構（JASSO）には、有利子、無利子の奨学金（貸与型）の他、経済的に困難な状況にある優秀な学生に対する給付型の奨学金もあります。\n[連絡先・備考]\n日本学生支援機構（JASSO） (https://www.jasso.go.jp/about/shogakukin)\n＊給付・貸与\n自治体の奨学金\n[対象者] 対象はそれぞれ異なります\n[連絡先・備考] 市町役場（奨学金のない自治体もあります）\n＊給付・貸与\n新聞奨学金\n[対象者] 新聞配達の仕事をする学生\n[連絡先・備考] 各新聞社\n＊給付・貸与\n交通遺児育英会奨学金\n[対象者] 交通事故の遺児や保護者に著しい障がいのある学生\n[連絡先・備考]\n交通遺児育英会奨学金 (http://www.kotsuiji.com/howto/)\n＊給付\n日本教育公務員弘済会\n[対象者] 大学院・大学・高等専門学校・専修学校専門課程の学生\n[連絡先・備考] 滋賀支部　　 　TEL： 077-526-1356\n＊給付・貸与\n坪井一郎・仁子学生支援プログラム\n[対象者] 大学生(3年生以上)や大学院生(入学予定者も可)難民や日系定住者及び中国帰国者の子弟\n[連絡先・備考]\n（社福）さぽうと２１ (http://support21.or.jp)\nTEL：03-5449-1331\n＊給付\nPP奨学金\n[対象者] 日本国籍、永住者、特別永住者\n[連絡先・備考]\n（社福）さぽうと２１ (http://support21.or.jp)\nTEL：03-5449-1331\n＊給付\nびわこ奨学金\n[対象者] 滋賀県内の留学生\n[連絡先・備考]\n（公財）滋賀県国際協会 (http://www.s-i-a.or.jp/index.php/projects/multicultural)\nTEL：077-526-0931\n＊給付""}]"
保護者への文書翻訳,滋賀県国際協会の情報によれば、保護者への文書翻訳に関する具体的な公表情報はS1～S5の中には見当たりません。一般的には、法的手続きや子育て支援に関する案内文は外国語版が公開されている場合がありますが、翻訳サービスの実施状況や無料翻訳の有無については直接の根拠がS1以外に示されていません。従って、滋賀県国際協会の公開情報だけでは、翻訳の可否や対象文書・費用等を確定できません。必要であれば、地域の外国人相談窓口や市町役場の国際・多言語対応窓口に照会することをおすすめします。,"[{""sid"": ""S1"", ""question"": ""年末調整の各種申告書（扶養控除等申告書など）について"", ""answer"": ""国税庁のウェブサイト内で、《外国語版》各種申告書（扶養控除等申告書など）が公開されています。\n【６言語版】\n英語、中国語、ポルトガル語、スペイン語、ベトナム語、フィリピノ語\nご活用ください。""}]"
HIV検査について,滋賀県国際協会の情報に基づくと、HIV検査は原則匿名・無料で受けられる場合があります。エイズ・HIV感染に関する不安がある場合は、保健所で抗体検査を受けることが推奨されています。専用電話によるカウンセリング・面接も実施されており、受付時間は毎週月・水の午前9時から12時です（電話番号: 077-524-0051）。検査は予約が必要で、検査結果が当日出ないこともあるため、2〜3週間後に結果通知となる場合があります。,"[{""sid"": ""S1"", ""question"": ""エイズ検査と相談"", ""answer"": ""エイズやHIV感染について不安に思うとき、抗体検査を保健所で受けましょう。相談、検査とも匿名、無料（原則）で受けられます。\n\nまた、滋賀県健康医療福祉部薬務感染症対策課内には専用電話を設置し、カウンセラーによる電話相談と面接を受け付けています。\nエイズ専用電話\n- 077-524-0051\n- 受付時間: 毎週月、水曜日　午前9時～12時""}]"
検診の担当者の変更について,検診の担当者の変更についての具体的な案内は、滋賀県国際協会の情報には記載がありません。健診自体の受診義務や手続きについては、協会けんぽの特定健診案内を参照し、受診券の案内や会場予約などの案内を確認してください。担当者変更の手続きについては、所属されている健保組合や市町村の窓口へ問い合わせてください。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ ８】年に１回は健診を受けましょう！"", ""answer"": ""健康診断を受けていますか？健診はからだの異常を早期に発見できる絶好の機会です。まったく自覚症状のない検査数値の異常も、放置しておくと命にかかわる病気に進行してしまう可能性があります。そのため、毎年の健診結果を確認、比較し、からだの変化を読み取ることが大切です。年に１回は必ず健診を受けましょう。\n日本では、４０歳から７４歳までの健康保険の加入者を対象とした「特定健診」を実施しています。加入する健康保険から年に１回健診費用の補助が受けられます。\n★お勤めの方\n年に１回、健康診断を従業員に受けさせることが事業主に義務付けられています。\n会社で健康診断の案内があったら必ず受診しましょう。法で定められた検査項目については、事業主が費用を負担します。\n★★\t協会けんぽの健康保険に加入の扶養家族の方\n４０歳以上のご家族の方には、毎年４月に特定健診の案内が自宅に届きます。\n中には、受診券やパンフレットなどが入っています。事前に受けたい病院や会場を予約して、特定健診を受けましょう。受診券があれば、費用の総額から７,１５０円引きになります。 自己負担なしの無料で受けられる会場もありますので、案内が届いたら、必ず受診しましょう。\n★★国民健康保険に加入中の方\n国民健康保険でも特定健診の受診を推進しており、自宅に案内を配付していますので、案内が届いたら必ず受診しましょう。案内の時期や内容については、住んでいる市町村役場に聞いてみましょう。\n協会けんぽに加入の皆様へ ～ お知らせ ～\n从2２０２３年１月から、協会けんぽの申請書・届出書の様式が変更になりました。\n新しい様式は、協会けんぽのホームページからダウンロードできます。\n古い様式の申請書・届出書をお持ちの方は、使用せず廃棄してください。""}]"
大学の授業料が無料についての情報,滋賀県内の公立小中学校の授業料は無料ですが、大学の授業料が無料になる制度は記載されていません。高等教育の修学支援新制度など、授業料の減免・給付型奨学金の制度は案内されていますが、大学の授業料全額免除の制度は出典S1にはありません。詳しくはS4/S5の制度情報をご参照ください。,"[{""sid"": ""S1"", ""question"": ""[小学校デビューQ＆A] 学校の経費などの支払いについて教えてください。"", ""answer"": ""公立の小中学校では、義務教育期間、教科書や授業料は無料ですが、給食費、教材費、PTA会費などがあり、銀行の口座振替になります。経済的にお困りの家庭には「就学援助制度」という支援制度があります。必要な方は学校を通じて申請できます。""}]"
