,相談年月日,相談区分,対応言語名,相談概要,相談方法
58,2025/10/9,その他,ポルトガル語,友だちが暴力を受けたことについて,電話
59,2025/10/10,身分（その他）,日本語（ブラジル）,2人の子どもを持つ母親への対応について,電話
60,2025/10/10,求職・雇用,ポルトガル語,育休と有休,E-Mail
61,2025/10/10,入管手続,ポルトガル語,ビザ更新の確認,電話
62,2025/10/10,交通・運転免許,ポルトガル語,事故の扱い変更,電話
63,2025/10/10,ＤＶ,ポルトガル語,家族の行方,電話
64,2025/10/10,住宅,ポルトガル語,家賃の支払い,電話
65,2025/10/10,入管手続,ポルトガル語,在留資格更新について,電話
66,2025/10/10,税金,タガログ語,府民税の支払,来所
67,2025/10/10,その他,日本語（その他）,法テラスの予約が取りたい,電話
68,2025/10/10,結婚・離婚,英語,弁護士予約の手伝いをしてほしい,E-Mail
69,2025/10/14,教育全般,ポルトガル語,子どものオンライン英語教室,E-Mail
70,2025/10/14,医療,ポルトガル語,動物病院での通訳依頼,電話
71,2025/10/14,日本語学習,英語,子どもの日本語支援について,E-Mail
72,2025/10/14,雇労（その他）,ポルトガル語,常に荒い扱いされている息子について,電話
73,2025/10/14,ＤＶ,ポルトガル語,妻子について,電話
74,2025/10/15,交通・運転免許,ポルトガル語,通訳依頼,電話
75,2025/10/15,求職・雇用,ポルトガル語,派遣会社について,電話
76,2025/10/15,交通・運転免許,日本語（ブラジル）,書類について,電話
77,2025/10/15,雇労（その他）,ポルトガル語,育児休暇について,E-Mail
78,2025/10/15,入管手続,ポルトガル語,在留資格の更新について,E-Mail
79,2025/10/15,税金,スペイン語,住民税について,電話
80,2025/10/15,年金,スペイン語,帰国した場合の年金について,電話
81,2025/10/15,入管手続,スペイン語,再入国許可について,電話
82,2025/10/15,雇労（その他）,英語,労働局への相談,電話
83,2025/10/15,住宅,日本語（日本）,外国人近隣住民に関する苦情,電話
84,2025/10/15,教育全般,日本語（ブラジル）,保護者との連絡について,電話
85,2025/10/16,その他,スペイン語,仕事やアパート探しについて,来所
86,2025/10/16,その他,日本語（その他）,団体について,来所
87,2025/10/16,社会保険,タガログ語,イエローカード（社会保険）について,電話
88,2025/10/16,その他,スペイン語,対面の相談について,電話
89,2025/10/17,教育全般,日本語（ブラジル）,保護者との連絡について,電話
90,2025/10/17,入管手続,ポルトガル語,在留資格更新について,電話
91,2025/10/17,入管手続,英語,在留資格の更新,電話
92,2025/10/17,日本語学習,日本語（日本）,日本語学習に関して問いあわせの件,電話
93,2025/10/17,その他,ポルトガル語,銀行口座のパスワードの再設定について,電話
94,2025/10/17,入管手続,スペイン語,家族の呼び寄せについて,電話
95,2025/10/20,教育全般,日本語（ブラジル）,保護者との連絡について,電話
96,2025/10/20,その他,日本語（ミャンマー）,ミャンマー語通訳の依頼,電話
97,2025/10/21,入管手続,タガログ語,日本入国前結核検査証明書,電話
98,2025/10/21,教育全般,ポルトガル語,行事の参加について,E-Mail
99,2025/10/21,交通・運転免許,日本語（その他）,従業員が交通事故を起こした,電話
100,2025/10/22,住宅,タガログ語,県営住宅について,電話
101,2025/10/22,結婚・離婚,タガログ語,記入が必要な書類,電話
102,2025/10/22,教育全般,日本語（ブラジル）,もう一人の先生について,電話
103,2025/10/22,交通・運転免許,スペイン語,弁護士からの手紙について,電話
104,2025/10/23,その他,日本語（ペルー）,生活困窮者について,電話
105,2025/10/23,入管手続,ポルトガル語,在留資格更新について,電話
106,2025/10/23,身分（その他）,日本語（フィリピン）,日本国籍の取得について,電話
107,2025/10/23,教育全般,ポルトガル語,作業所の見学について,電話
108,2025/10/23,教育全般,日本語（ブラジル）,連絡事項について,電話
109,2025/10/24,交通・運転免許,ポルトガル語,慰謝料について,電話
110,2025/10/24,交通・運転免許,スペイン語,弁護士からの手紙について,電話
111,2025/10/24,入管手続,タガログ語,入管に提出する書類,電話
112,2025/10/24,住宅,タガログ語,県営住宅について,電話
113,2025/10/24,その他,英語,住民票が必要,電話
114,2025/10/27,交通・運転免許,ポルトガル語,自賠責保険について,電話
115,2025/10/27,その他,日本語（ブラジル）,福祉課の窓に来所者に通訳依頼,電話
116,2025/10/27,医療,ポルトガル語,入院費用について,電話
117,2025/10/27,その他,日本語（ブラジル）,通訳依頼,電話
118,2025/10/27,入管手続,ポルトガル語,娘の在留資格について,電話
119,2025/10/27,交通・運転免許,日本語（ブラジル）,相談者に連絡について,電話
120,2025/10/27,医療,ポルトガル語,検診の案内について,来所
121,2025/10/27,医療,ポルトガル語,循環器内科の予約について,電話
122,2025/10/27,税金,タガログ語,住宅ローン控除について,来所
123,2025/10/27,その他,タガログ語,お支払日変更の依頼,電話
124,2025/10/27,出産・子育て全般,タガログ語,出産前と出産後の手当金について,電話
125,2025/10/27,出産・子育て全般,タガログ語,出産・子育てに対して色々な情報,電話
126,2025/10/27,税金,タガログ語,高額療養費支給について,電話
127,2025/10/27,入管手続,タガログ語,在留資格の更新,電話
128,2025/10/27,日本語学習,英語,日本語クラスに関する相談,電話
129,2025/10/28,年金,ポルトガル語,障害年金申請について,電話
130,2025/10/28,年金,ポルトガル語,年金事務所から届いているハガキについて,電話
131,2025/10/28,雇労（その他）,ポルトガル語,通勤手当について,E-Mail
132,2025/10/28,雇労（その他）,日本語（ミャンマー）,会社からの請求金額について,電話
133,2025/10/28,その他,日本語（ブラジル）,ブラジルのパスポートについて,電話
134,2025/10/28,医療,ポルトガル語,医療費について,電話
135,2025/10/28,医療,日本語（ブラジル）,通訳依頼,電話
136,2025/10/28,その他,ポルトガル語,クレジットカードについて,電話
137,2025/10/28,入管手続,ポルトガル語,娘の在留資格について,電話
138,2025/10/28,その他,タガログ語,水道料金,電話
139,2025/10/28,求職・雇用,タガログ語,失業手当の申請,電話
140,2025/10/29,その他,英語,ゴミの分別と処分に関する情報,電話
141,2025/10/29,税金,英語,日本の税制について,電話
142,2025/10/29,医療,ポルトガル語,医療通訳について,電話
143,2025/10/29,ＤＶ,ポルトガル語,在留資格更新について,電話
144,2025/10/29,出産・子育て全般,ポルトガル語,妊娠について,電話
145,2025/10/29,社会保険,ポルトガル語,診察の支払について,電話
146,2025/10/29,雇労（その他）,ポルトガル語,妊婦の労働,電話
147,2025/10/29,雇労（その他）,スペイン語,ハラスメントについて,電話
148,2025/10/30,日本語学習,英語,日本語教室について,電話
149,2025/10/30,年金,日本語（ブラジル）,年金のハガキ,来所
150,2025/10/30,その他,スペイン語,健康と高齢化について,電話
151,2025/10/30,入管手続,スペイン語,ビザの記入用紙について,電話
152,2025/10/31,求職・雇用,日本語（ペルー）,有給のことについて,電話
153,2025/10/31,求職・雇用,ポルトガル語,ポルトガル語通訳の依頼,電話
154,2025/10/31,教育全般,日本語（ブラジル）,保護者に連絡がとりたい,電話
155,2025/10/31,その他,日本語（ブラジル）,いくつかのハガキ（通知書）の確認,来所
