相談内容,回答内容,回答に使用したQA資料
永住ビザについて,以下の情報は滋賀県国際協会の情報源S1～S5に基づく簡潔な回答です。永住ビザに関する直接の記載はS4に在留資格・在留期間の一般説明としてのみありますが、永住者ビザ（長期滞在の永住権）についての具体的な要件や認定基準は記載されていません。したがって、永住ビザの要件や手続きについては、出入国在留管理庁の公式情報（S4参照）を確認してください。滋賀県国際協会の情報ベースには、永住ビザに特化した要件は含まれていません。,"[{""sid"": ""S4"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
日本で働くことを希望,滋賀県国際協会の情報に基づくと、日本国内で就労を希望する外国人は公共職業安定所（ハローワーク）で職業紹介や就労相談を受けることができます。就業に関する手続き・雇用保険などの案内も受けられます。詳しい相談先は滋賀労働局の窓口・電話番号を参照してください。,"[{""sid"": ""S1"", ""question"": ""求職"", ""answer"": ""日本国内で就労できる外国人の方は日本人と同じように職業紹介を受ける事ができます。\n公共職業安定所　(ハローワーク)\n職業紹介、就労に関する相談などに応じる国の機関が公共職業安定所です。\n仕事が見つかり労働契約を結ぶ時の重要な決まりや雇用保険についてなど、いろいろな相談も合わせて行われています。""}]"
年金の支払いについて,日本の公的年金制度は、居住地や国籍に関係なく、一定の要件のもと適用されます。外国人の場合は、原則として1年以上日本に滞在する予定が対象です。保険料の納付期間が10年以上であれば受給資格に必要な期間を満たします。基礎年金と厚生年金の関係や、納付済み期間・免除期間・合算対象期間などを合算して計算します。ねんきん定期便やねんきんネットで年金記録を確認でき、住所変更時は住所変更を届け出てください。,"[{""sid"": ""S1"", ""question"": ""年金制度"", ""answer"": ""公的年金制度は、老齢、障害または死亡時の本人および遺族の生活保障の観点から、日本国内に住むすべての人について、一定の要件のもとに国籍を問わず適用しています。外国人の場合、1年以上の日本滞在を予定している人が対象となります。\n厚生年金保険\n給付の種類\n老齢厚生年金、障害厚生年金、遺族厚生年金\n国民年金\n20歳から59歳までの方で、厚生年金保険などに加入していない場合は国民年金に加入しなければいけません。\nお問い合わせ\n各市町村国民年金担当係""}]"
年金受給について,年金は、公的年金制度で老齢年金を含む給付を受けられます。老齢基礎年金は国民年金加入者が受け、厚生年金加入者は老齢基礎年金に厚生年金部分を加算した金額を受給します。受給開始年齢は原則65歳ですが、繰り上げ/繰り下げが可能です。受給資格は保険料納付期間などの合算期間を含む10年以上が要件です。年金情報は毎年ねんきん定期便・ねんきんネットで確認できます。,"[{""sid"": ""S2"", ""question"": ""老齢年金"", ""answer"": ""老齢年金では、どの人にも共通な基礎となる年金を老齢基礎年金といいます。国民年金の加入者は、この老齢基礎年金を受給しますが、厚生年金の加入者は、これに厚生年金部分を加算した金額を受給します。老齢基礎年金は、６０歳まで４０年間保険料を全額支払った場合、年間(779,300円（2017年度）の満額の年金額になります。老齢年金を受給するための年齢はこれまでどおりで６５歳からですが、希望すれば繰り上げ支給や繰り下げ支給もあります。また、厚生年金では、６０歳から６５歳まで、生年月日や性別など一定の要件に基づき、特別支給の老齢厚生年金が支給されます。""}, {""sid"": ""S3"", ""question"": ""年金を受け取るために必要な期間が１０年に短縮されました"", ""answer"": ""これまでは、老齢年金を受け取るためには、保険料納付済等期間が25年以上必要でしたが、2017年8月1日から、10年になりました。（遺族年金・障害年金の受給要件はこれまでどおり変更ありません。）\n老齢年金の受給資格は、以下の４項目をあわせた期間が１０年以上です。\n1. 保険料納付期間（国民年金保険料納付済み期間、厚生年金被保険者加入期間）\n2. 保険料免除、学生納付特例等の納付猶予を受けた期間\n3. 第３号被保険者期間（加入者に扶養されている被保険者）\n4. 合算対象期間（カラ期間） ＊\n＊4. のカラ期間は、年金額に反映されませんが、加入期間には計算される合算対象期間です。\n★ 合算対象期間 には、次のようなものがあります。\n日本国籍を取得した方、永住者等が年金の請求手続きをする際、海外在住期間があった場合に、このことを証明する書類が必要となります。このため、これまでのパスポートも大切に保管しておくことが大切です。また、2012年7月9日以前の「外国人登録原票」は、法務省で保管されています。このため、それ以前の出入国を証明するためには、出入(帰)国記録に係わる開示請求することになります。\n出入（帰）国記録に係る開示請求 (http://www.moj.go.jp/isa/applications/disclosure/record.html)""}, {""sid"": ""S4"", ""question"": ""自分の年金情報をチェック！"", ""answer"": ""毎年1回、誕生月に国民年金および厚生年金保険の加入者（被保険者）には、年金加入記録の確認のため、「ねんきん定期便」が届きます。届出住所が現住所と異なっている場合、「ねんきん定期便」が届きませんので、住所が変った場合は住所変更を届け出ましょう。\n年金記録の確認は\nねんきんネット (https://www.nenkin.go.jp/n_net/index.html)\n年金定期便・年金専用ダイヤル　℡　0570-058-555\n★\t保険料納付期間が１０年に満たない方も年金事務所で確認しましょう！ 年金記録に漏れがないか。（基礎年金番号が他にないか。別の氏名で登録されたものがないか。 合算対象期間がないか。（特に永住者、日本国籍の方は海外の滞在期間が合算されます。）\n★\t資格期間を満たすために次のような方法があります。 ６０歳から６５歳まで国民年金に任意加入する。（1965年4月1日以前生まれの方は最長７０歳まで任意加入できます） 国民年金後納制度を使い未納期間を解消する。（2018年9月30日まで５年後納制度が適用されます）""}]"
妻子の保護機関の連絡,滋賀県国際協会の情報に基づき、保護機関の連絡先としては、虐待が疑われる場合は24時間対応の虐待ホットラインへ連絡してください。ホットライン番号は077-562-8996（日本語）です。必要に応じて中央子ども家庭相談センターや各地域の子ども家庭相談センターへ連絡してください。詳しい所在地・連絡先は以下の窓口をご参照ください。- 中央子ども家庭相談センター（草津市）TEL 077-562-1121 - 彦根子ども家庭相談センター TEL 0749-24-3741 - 大津・高島子ども家庭相談センター TEL 077-548-7768 - 児童相談所全国共通ダイヤル（24時間）TEL 189,"[{""sid"": ""S3"", ""question"": ""児童虐待の疑いがある場合はすぐに連絡しましょう"", ""answer"": ""虐待ホットライン（24時間対応）\n電話 : 077-562-8996　（日本語）\n中央子ども家庭相談センター\n草津市笠山七丁目4番45号　　電話: 077-562-1121\n彦根子ども家庭相談センター\n彦根市小泉町932-1　　電話: 0749-24-3741\n大津・高島子ども家庭相談センター\n大津市におの浜4-4-5　　電話: 077-548-7768\n児童相談所全国共通ダイヤル（24時間対応）\n電話：189""}]"
センターの住所について,,"[{""sid"": ""S3"", ""question"": ""運転免許証について"", ""answer"": ""滋賀県運転免許センター\n守山市木浜町2294番地　　℡　077-585-1255""}]"
社会保険料返納について,滋賀県国際協会の情報源には社会保険料の“返納”について直接の記載はありません。一般的な手続きとして、会社を通じて社会保険に加入していた場合、退職後や就業形態の変更時には保険料の支払い調整や脱退手続きが発生します。脱退手続きは国民健康保険の加入手続きと同時に行い、二重請求を避けることが重要です。具体的な返納（払い戻し）制度の適用条件や手続きは所属する自治体や保険制度の運用により異なるため、該当する市区町村の窓口または勤務先の人事・社会保険担当窓口に確認してください。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ１】  日本の公的保険制度について"", ""answer"": ""日本の会社に就職して仕事を始めると、お給料から社会保険料が引かれていることに気が付くと思います。この“社会保険”とは何を指すのでしょうか。日本では様々な社会保険制度があり、国籍に関わらず皆さんが加入し保障を受けることができます。\n今回はその中の健康保険について、会社にお勤めの方と、そうでない方の違いを見てみましょう。\n会社で働いてお給料をもらっている方：会社を通じて社会保険に加入します。保険料は給料から天引きになりますが、保険料の半分を会社が負担してくれています。また、扶養の家族も一緒に加入することができます。家族は保険料がかかりません。健康保険と年金はセットで加入します。\n自営業・無職など会社にお勤めではない方（上記以外の方）：個人で国民健康保険に加入します。保険料はご自身でお住いの市役所に納める必要があります。保険料は家族分を含め、全額自己負担となります。同様に年金も、個人で国民年金に加入します。\n●　病院での支払いが3割で済むのはどちらも同じです。また医療費が高額になった時の給付、出産や死亡の時の給付も同じです。会社の社会保険には病気や出産で仕事を休んだ時に、お給料を一部保障する給付がありますが、国民健康保険にはありません。\n健康保険の加入と脱退の手続きについて\n会社に就職したとき：社会保険に加入するときは会社が手続きをしてくれますが、それまで加入していた国民健康保険の脱退の手続きは自分でする必要があります。保険料が二重で請求されることのないよう、お住いの市役所で脱退の手続きをしてください。\n会社を退職したとき：退職し社会保険の資格が喪失したときは、保険証は使えなくなっていますので、すぐに会社に返却しましょう。そして自分で市役所に行って国民健康保険に加入し、保険証をもらう手続きをする必要があります。他にも社会保険を任意で継続加入する、ご家族の扶養に入るといった選択肢もありますので確認してみてください。""}]"
結婚のことについて,滋賀県国際協会の情報に基づき、結婚に関する要点を簡潔にまとめます。外国人が日本国内で結婚する場合は、本国の法律と日本の法律の双方に従う手続きが必要です。婚姻の手続きについては、本国の在日領事館または大使館へ問い合わせ、婚姻届は居住地の市町村役場の戸籍係に提出してください。必要書類には日本語訳文も求められます。,"[{""sid"": ""S1"", ""question"": ""婚姻届"", ""answer"": ""- 外国人が日本国内で結婚する場合は両人の本国の法律と日本の法律にしたがって婚姻の手続きをしなければなりせん。\n- 本国の在日領事館または、大使館に婚姻の手続きについて問い合わせてください。\n- 婚姻に関しては、本国で定められている婚姻法に従って、必要書類をそろえ手続きをしてください。（書類の日本語訳文も必要です）\n- 婚姻届を届出人の所在地の市町村役場の戸籍係に提出してください。""}]"
家庭裁判所での調停について,家庭裁判所の調停で話し合うことができます。下記の連絡先に問い合わせてください。大津家庭裁判所／彦根支部／長浜支部の電話番号は本文参照。必要に応じて京都外国人の夫婦と親子に関する紛争解決センターも利用できます。,"[{""sid"": ""S1"", ""question"": ""離婚についての話し合いがうまくいきません。"", ""answer"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}]"
年金の受け取りの心配,年金を受け取るためには、10年以上の加入期間が必要です。老齢年金の受給要件は、保険料納付期間、免除・猶予期間、第3号被保険者期間、合算対象期間を合計して10年以上とします。繰り上げ・繰り下げの取扱いもあります。詳細は国のねんきん制度の案内に従い、ねんきんネット等で記録確認を行い、必要に応じて年金事務所へ相談してください。定期的な年金定期便の確認や住所変更の届け出を忘れずに行いましょう。,"[{""sid"": ""S2"", ""question"": ""年金を受け取るために必要な期間が１０年に短縮されました"", ""answer"": ""これまでは、老齢年金を受け取るためには、保険料納付済等期間が25年以上必要でしたが、2017年8月1日から、10年になりました。（遺族年金・障害年金の受給要件はこれまでどおり変更ありません。）\n老齢年金の受給資格は、以下の４項目をあわせた期間が１０年以上です。\n1. 保険料納付期間（国民年金保険料納付済み期間、厚生年金被保険者加入期間）\n2. 保険料免除、学生納付特例等の納付猶予を受けた期間\n3. 第３号被保険者期間（加入者に扶養されている被保険者）\n4. 合算対象期間（カラ期間） ＊\n＊4. のカラ期間は、年金額に反映されませんが、加入期間には計算される合算対象期間です。\n★ 合算対象期間 には、次のようなものがあります。\n日本国籍を取得した方、永住者等が年金の請求手続きをする際、海外在住期間があった場合に、このことを証明する書類が必要となります。このため、これまでのパスポートも大切に保管しておくことが大切です。また、2012年7月9日以前の「外国人登録原票」は、法務省で保管されています。このため、それ以前の出入国を証明するためには、出入(帰)国記録に係わる開示請求することになります。\n出入（帰）国記録に係る開示請求 (http://www.moj.go.jp/isa/applications/disclosure/record.html)""}, {""sid"": ""S3"", ""question"": ""年金制度"", ""answer"": ""公的年金制度は、老齢、障害または死亡時の本人および遺族の生活保障の観点から、日本国内に住むすべての人について、一定の要件のもとに国籍を問わず適用しています。外国人の場合、1年以上の日本滞在を予定している人が対象となります。\n厚生年金保険\n給付の種類\n老齢厚生年金、障害厚生年金、遺族厚生年金\n国民年金\n20歳から59歳までの方で、厚生年金保険などに加入していない場合は国民年金に加入しなければいけません。\nお問い合わせ\n各市町村国民年金担当係""}, {""sid"": ""S4"", ""question"": ""老齢年金"", ""answer"": ""老齢年金では、どの人にも共通な基礎となる年金を老齢基礎年金といいます。国民年金の加入者は、この老齢基礎年金を受給しますが、厚生年金の加入者は、これに厚生年金部分を加算した金額を受給します。老齢基礎年金は、６０歳まで４０年間保険料を全額支払った場合、年間(779,300円（2017年度）の満額の年金額になります。老齢年金を受給するための年齢はこれまでどおりで６５歳からですが、希望すれば繰り上げ支給や繰り下げ支給もあります。また、厚生年金では、６０歳から６５歳まで、生年月日や性別など一定の要件に基づき、特別支給の老齢厚生年金が支給されます。""}, {""sid"": ""S5"", ""question"": ""年金の相談は"", ""answer"": ""- ねんきんダイヤル ℡ 0570-05-1165　　　IP電話・PHS: ℡ 03-6700-1165\n- 街角の年金相談センター草津（草津市渋川1-1-50） ℡　077-564-4311\n- 大津年金事務所（大津市打出浜13-5） ℡ 077-521-1789\n- 草津年金事務所（草津市西渋川1-16-35） ℡ 077-567-2220\n- 彦根年金事務所（彦根市外町169-6） ℡ 0749-23-1114""}]"
仕事探し,滋賀県国際協会の情報に基づくと、日本国内で就労できる外国人は公共職業安定所（ハローワーク）を通じて職業紹介や就労相談を受けることができます。就職時には雇用契約の確認や賃金・労働条件の確認をおすすめします。高校生のアルバイトについては、年齢要件や校則・法令の制限を守る必要があります。問題がある場合は滋賀労働局雇用環境・均等室や労働条件相談ほっとライン、闇バイトの相談窓口などを活用してください。,"[{""sid"": ""S1"", ""question"": ""求職"", ""answer"": ""日本国内で就労できる外国人の方は日本人と同じように職業紹介を受ける事ができます。\n公共職業安定所　(ハローワーク)\n職業紹介、就労に関する相談などに応じる国の機関が公共職業安定所です。\n仕事が見つかり労働契約を結ぶ時の重要な決まりや雇用保険についてなど、いろいろな相談も合わせて行われています。""}, {""sid"": ""S4"", ""question"": ""高校生はアルバイトできますか？"", ""answer"": ""15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}]"
仕事場での悩み事,滋賀県国際協会の情報に基づくと、仕事場での悩みがある場合は以下の窓口を利用してください。いじめ・いやがらせ・セクハラ・解雇などの相談は、滋賀労働局 雇用環境・均等室に連絡するのが適切です（Tel 077-523-1190）。必要に応じて労働条件相談ホットライン（多言語対応）も利用できます。闇バイトや犯罪行為に巻き込まれた場合は警察相談ダイヤル#9110へ。労働トラブル全般については労働基準監督署へ相談してください。就労や求職に関連する相談はハローワークが窓口です。生活困窮時には市役所の福祉窓口または社会福祉協議会の相談窓口（よりそいホットライン 0120-279-338）を活用してください。,"[{""sid"": ""S1"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S2"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S3"", ""question"": ""労働トラブルの相談"", ""answer"": ""労働関係のトラブルがあった場合は、下記の労働基準監督署に相談しましょう。（労働契約、就労規則、給料明細などがあれば持参してください）""}, {""sid"": ""S4"", ""question"": ""求職"", ""answer"": ""日本国内で就労できる外国人の方は日本人と同じように職業紹介を受ける事ができます。\n公共職業安定所　(ハローワーク)\n職業紹介、就労に関する相談などに応じる国の機関が公共職業安定所です。\n仕事が見つかり労働契約を結ぶ時の重要な決まりや雇用保険についてなど、いろいろな相談も合わせて行われています。""}, {""sid"": ""S5"", ""question"": ""生活に困ったら"", ""answer"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}]"
日本語教室,滋賀県国際協会の情報のみを根拠に回答します。日本語教室に関する情報はS1に掲載されたグループ名の一覧として示されています。以下のグループ名が日本語教室として挙げられています：彦根ユネスコ協会 子ども日本語教室、ワールドアミーゴクラブ、かんちゃんの小さな家、東近江アミーゴ教室、南米語学学習教室 カミノ教室 カミニョ教室、かみやんど、日和-寺子屋大津、多文化共生学習会 Half half（外国籍の生徒のための学習支援教室）、グループ名リストにある他の名称も日本語学習支援を目的とする教室として理解できます。就学・運営の詳細はS4/S5の教育情報の項に準拠しますが、今回の質問「日本語教室」に対してはS1のグループ名一覧を根拠として挙げました。,"[{""sid"": ""S1"", ""question"": ""子どもたちの 学習・遊びのグループ"", ""answer"": ""グループ名:　子どものための日本語教室\nグループ名:　彦根ユネスコ協会 子ども日本語教室\nグループ名:　ワールドアミーゴクラブ\nグループ名:　かんちゃんの小さな家\nグループ名:　東近江アミーゴ教室\nグループ名:　南米語学学習教室　カミノ教室　カミニョ教室\nグループ名:　かみやんど\nグループ名:　日和-寺子屋大津\nグループ名:　多文化共生学習会　Half half（外国籍の生徒のための学習支援教室）""}]"
国民年金と厚生年金の違い,国民年金は20歳から59歳までの、厚生年金保険などに加入していない人が加入する基礎年金です。厚生年金は、会社員等の加入者が対象で、国民年金に上乗せして給付される年金（老齢年金・障害年金・遺族年金）。要点は、国民年金は基礎年金として全員に共通の最低保障、厚生年金は雇用形態により加入し、国民年金の基礎に厚生年金部分が加算される点です。なお、年金の受給要件などは市区町村の窓口や年金事務所で確認します。,"[{""sid"": ""S1"", ""question"": ""年金制度"", ""answer"": ""公的年金制度は、老齢、障害または死亡時の本人および遺族の生活保障の観点から、日本国内に住むすべての人について、一定の要件のもとに国籍を問わず適用しています。外国人の場合、1年以上の日本滞在を予定している人が対象となります。\n厚生年金保険\n給付の種類\n老齢厚生年金、障害厚生年金、遺族厚生年金\n国民年金\n20歳から59歳までの方で、厚生年金保険などに加入していない場合は国民年金に加入しなければいけません。\nお問い合わせ\n各市町村国民年金担当係""}, {""sid"": ""S2"", ""question"": ""老齢年金"", ""answer"": ""老齢年金では、どの人にも共通な基礎となる年金を老齢基礎年金といいます。国民年金の加入者は、この老齢基礎年金を受給しますが、厚生年金の加入者は、これに厚生年金部分を加算した金額を受給します。老齢基礎年金は、６０歳まで４０年間保険料を全額支払った場合、年間(779,300円（2017年度）の満額の年金額になります。老齢年金を受給するための年齢はこれまでどおりで６５歳からですが、希望すれば繰り上げ支給や繰り下げ支給もあります。また、厚生年金では、６０歳から６５歳まで、生年月日や性別など一定の要件に基づき、特別支給の老齢厚生年金が支給されます。""}]"
