,相談年月日,相談区分,対応言語名,相談概要,相談方法,,
75,2025/4/16,子育・児童虐待,タガログ語,孫達は児童虐待の被害者でしょうか？,電話,,
76,2025/4/16,教育全般,タガログ語,高等学校等就学支援金の返済について,電話,,
77,2025/4/17,住宅,スペイン語,不動産からの連絡について,電話,,
78,2025/4/17,出産・子育て全般,ポルトガル語,児童扶養手当について,電話,,
79,2025/4/17,入管手続,ポルトガル語,在留資格での身元保証人について,電話,,
80,2025/4/17,出産・子育て全般,ポルトガル語,子ども手当について,電話,,
81,2025/4/17,その他,ポルトガル語,生活保護について,電話,,
82,2025/4/17,雇労（その他）,ポルトガル語,退職後の掛け金返済について,電話,,
83,2025/4/17,税金,英語,ビザ申請用の納税課税証明書,電話,,
84,2025/4/18,その他,ポルトガル語,クレジットカードの停止,来所,,
85,2025/4/18,税金,ポルトガル語,県民税の支払いについて,電話,,
86,2025/4/18,ＤＶ,ポルトガル語,保護されている妻と子どもたちについて,電話,,
87,2025/4/18,住宅,タガログ語,住宅ローン控除の手続きについて,電話,,
88,2025/4/18,その他,タガログ語,マイナンバーについて,電話,,
89,2025/4/18,入管手続,タガログ語,在留資格について,電話,,
90,2025/4/18,出産・子育て全般,タガログ語,高額な幼稚園の費用について,電話,,
91,2025/4/21,その他,日本語（中国）,身分証明書の紛失,電話,,
92,2025/4/21,その他,ポルトガル語,クレジットカード再発行手続き,来所,,
93,2025/4/21,求職・雇用,ポルトガル語,ハローワークの通訳,電話,,
94,2025/4/21,入管手続,タガログ語,在留資格更新について,来所,,
95,2025/4/21,教育全般,"日本語
（ブラジル）",保護者との連絡,電話,,
96,2025/4/22,教育全般,"日本語
（ブラジル）",転校生の保護者に連絡,電話,,
97,2025/4/22,結婚・離婚,ポルトガル語,離婚で財産について,電話,,
98,2025/4/22,入管手続,タガログ語,在留資格認定証明書,電話,,
99,2025/4/22,雇労（その他）,タガログ語,労働者と派遣会社の間の誤解,電話,,
100,2025/4/22,医療,タガログ語,医療通訳の依頼,電話,,
101,2025/4/22,結婚・離婚,タガログ語,外国離婚の承認裁判,電話,,
102,2025/4/22,その他,ポルトガル語,業者への支払等,電話,,
103,2025/4/22,その他,ポルトガル語,電気コンロのトラブル,電話,,
104,2025/4/22,その他,ポルトガル語,電気代の支払,電話,,
105,2025/4/23,住宅,"日本語
（ブラジル）",ソーラーパネルについて,電話,,
106,2025/4/23,医療,"日本語
（ブラジル）",書類記入について,電話,,
107,2025/4/23,雇労（その他）,ポルトガル語,労働基準監督署の連絡先について,電話,,
108,2025/4/23,求職・雇用,英語,仕事探し,電話,,
109,2025/4/23,教育全般,"日本語
（ブラジル）",保護者との連絡,電話,,
110,2025/4/23,その他,ポルトガル語,帰国の計画について,来所,,
111,2025/4/23,年金,ポルトガル語,障害年金について,電話,,
112,2025/4/24,医療,"日本語
（フィリピン）",結核患者の聞き取り,電話,,
113,2025/4/24,通訳・翻訳,英語,通訳の募集,電話,,
114,2025/4/24,日本語学習,"日本語
（フィリピン）",草津の日本語教室,電話,,
115,2025/4/24,出産・子育て全般,ポルトガル語,児童扶養手当について,電話,,
116,2025/4/25,ＤＶ,ポルトガル語,弁護士相談について,電話,,
117,2025/4/25,医療,ポルトガル語,病院の予約変更について,電話,,
118,2025/4/25,住宅,ポルトガル語,アパート探しについて,電話,,
119,2025/4/25,結婚・離婚,ポルトガル語,娘の結婚について,電話,,
120,2025/4/25,出産・子育て全般,"日本語
（ベトナム）",給付金と母子手帳の発行について通訳依頼,電話,,
121,2025/4/25,結婚・離婚,タガログ語,民事状況宣誓供述書および公証サービスについて教えてください。,電話,,
122,2025/4/25,入管手続,タガログ語,在留資格認定証明書,電話,,
123,2025/4/25,結婚・離婚,タガログ語,離婚について,来所,,
124,2025/4/25,その他,タガログ語,放棄された農地について,来所,,
125,2025/4/25,入管手続,"日本語
（中国）",中国の方の在留資格の相談,電話,,
126,2025/4/26,医療,タガログ語,医療通訳の依頼,電話,,
127,2025/4/28,社会保険,ポルトガル語,傷病手当金の受給,電話,,
128,2025/4/28,出産・子育て全般,"日本語
（その他）",入園者の聞き取り,電話,,
129,2025/4/28,交通・運転免許,スペイン語,自転車保険について,来所,,
130,2025/4/28,社会保険,スペイン語,協会けんぽの手紙について,来所,,
131,2025/4/28,住宅,ポルトガル語,転出届について,電話,,
132,2025/4/28,交通・運転免許,ポルトガル語,自動車教習所について,電話,,
133,2025/4/28,通訳・翻訳,タガログ語,付き添い通訳について,来所,,
134,2025/4/28,年金,スペイン語,国民年金の加入について,電話,,
135,2025/4/28,教育全般,"日本語
（ブラジル）",保護者に連絡したい,電話,,
136,2025/4/28,教育全般,"日本語
（ブラジル）",保護者に連絡事項がある,電話,,
137,2025/4/28,出産・子育て全般,ポルトガル語,児童手当について,電話,,
138,2025/4/30,その他,スペイン語,野良猫の飼育,電話,,
139,2025/4/30,求職・雇用,ポルトガル語,失業保険について,電話,,
140,2025/4/30,住宅,ポルトガル語,ソーラーパネルについて,電話,,
141,2025/4/30,医療,スペイン語,母の通院について,電話,,
142,2025/4/30,求職・雇用,スペイン語,休日出勤について,電話,,
143,2025/4/30,その他,タガログ語,銀行口座について,来所,,
144,2025/4/30,医療,"日本語
（その他）",夫の治療代金について,電話,,
