相談内容,回答内容,回答に使用したQA資料
クレジットカードの返済について,クレジットカードの返済についての具体的な手続きは、提供された情報（S1〜S5）には含まれていません。したがって、滋賀県国際協会の情報に基づく事実ベースの回答はできません。適切な情報源としては、金融庁の資金移動業者登録の確認や消費者ホットライン等の案内を参照してください。必要であれば、S1の詐欺対策や相談窓口の連絡先を再提示します。,"[{""sid"": ""S1"", ""question"": ""金融トラブルにご注意！！"", ""answer"": ""電子マネーのトラブル\nインターネット有料サイトの利用料金未納を騙った架空請求など、詐欺行為の支払手段として現金だけでなく、電子マネーを悪用した被害が急増しています。\n※预プリペイドカードなどの電子マネーは、相手にカードを渡さなくても、カードに記載された番号等を伝えるだけで電子マネーの価値を譲渡したことになります。\n詐欺です！：「コンビニで電子マネーカードを買って、カード番号を教えて。\n」\n！身に覚えのない請求等に返信、連絡しないでください。\n！事業者、法務省や裁判所などが「未納料金などの支払い」の名目で、　　コンビニで電子マネーカードを購入させることは絶対にありません。\nマネー・ロンダリング（犯罪に関係するお金を持っている人をわからなくすること）は違法です！\n詐欺です！：「このお金をあなたの口座から送金してほしいんです。一万円あげますから。」\n！口座を他人にあげるなどの行為は違法です。\n！違法な業者かどうか判断できない場合はその業者は使わないでください。\n　金融庁ウェブサイトの資金移動業者登録一覧に載っていない業者は違法です。\nここから確認できます→　https://www.fsa.go.jp/menkyo/menkyoj/shikin_idou.pdf\n。\nメール・SMS（ショートメッセージサービス）による被害防止対策として、あらかじめ受信拒否設定をしておくことが効果的です。\n！おかしいと思ったら、すぐに家族や友人、警察＃9110（警察相談専用電話）に相談！\n- 消費者ホットライン　　　　１８８　（日本語）\n- 訪日外国人観光客消費者ホットライン 03-5449-0906\n- 金融サービス利用者相談室0570-016811（从ＩＰ電話からは：03-5251-6811）\n- 英語ワンストップ窓口　　　email: equestion@fsa.go.jp""}]"
難民申請中の生活支援,滋賀県国際協会の情報を根拠に事実ベースで回答します。難民申請中の生活支援について、滋賀県の公的情報として直接の記載はS1〜S5の範囲には見当たりません。難民申請中の支援に関しては、現時点で公的窓口としては市町の福祉課・社会福祉協議会や福祉の窓口へ相談する案内が示されています（生活に困ったら、社会福祉協議会・市役所の福祉の窓口へ相談推奨）。また、難民申請中の方への具体的な特例や給付についての記載はS1〜S5には含まれていません。従って、難民申請中の方は、まず居住地の市町の福祉課・社会福祉協議会、または社会的包摂サポートセンターの窓口へ相談してください。窓口連絡先はS2に示されています（0120-279-338）。滋賀県では県営住宅での一時的な受入れを行っていますが、対象は難民申請中の方ではなく、新型コロナ関連の退去を余儀なくされた方の受入れとなっています（S1）。今後、難民申請中の方への具体的な案内は、各市町の福祉課や社会福祉協議会へご相談ください。,"[{""sid"": ""S1"", ""question"": ""新型コロナウイルス感染症の影響を受けた方への生活支援について"", ""answer"": ""住居確保給付金（家主さんに直接支払われる家賃）\n対象\n離職・廃業から２年以内または休業等により収入が減少し、離職等と同程度の状況にある方\n支給期間\n原則３カ月（最長９カ月まで）\n支給額\n家賃相当額を自治体から家主さんに支給\n申請方法\n市にお住まいの方は各市。町にお住まいの方は各町の社会福祉協議会\nご案内\n住居確保給付金のご案内はこちらから (https://www.mhlw.go.jp/content/000626236.pdf)\n★滋賀県では県営住宅での一時的な受入れを行っています。\n対象\n新型コロナウイルスの感染症に起因する解雇等により住宅の退去を余儀なくされた方\n入居期間\n最長一年間\n申込方法\n県庁土木交通部住宅課へお電話　（℡　０７７－５２８－４２３４）\nその他、生活にお困りの方は、お住まいの市町の福祉課や社会福祉事務所で相談しましょう！""}, {""sid"": ""S2"", ""question"": ""生活に困ったら"", ""answer"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}]"
友達の日本人が生活困窮している,友達の日本人が生活困窮している場合、まず市役所の福祉窓口または社会福祉協議会に相談してください。必要な支援や制度の案内が受けられます。地域の生活困窮者支援窓口や公的機関が相談を受け付け、適切な支援につなげます。,"[{""sid"": ""S5"", ""question"": ""生活に困ったら"", ""answer"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}]"
賃貸契約の解除について,滋賀県国際協会の情報に基づき、賃貸契約の解除について以下の要点を簡潔に示します。 1) 賃貸契約を解除する場合、退去時には敷金の扱いが重要です。未払い賃料や物件の損傷がある場合は修理費等を差し引かれ、残額が返金されます。 2) 礼金は返金されません。 3) 契約形態により、契約期間の定めがある場合とない場合で手続きが異なることがあります。 4) 契約解除の具体的手続き（退去通知の時期、解約予告の有無、解約通知の方法）は就業規則・契約書に定められているため、事前に確認してください。 5) 奈良の行政情報ではなく滋賀県の窓口情報として、必要に応じて滋賀労働局等の相談窓口を参照してください。,"[{""sid"": ""S1"", ""question"": ""賃貸住居"", ""answer"": ""家やアパートを借りたい場合は、不動産業者に相談してください。\n\n契約に必要とされるのは\n敷金\n家賃支払いの担保として家主に預けておくお金です。退去する際に返金されるものです。未払い賃料および借りていた家の中に損害がある場合は、その修理費をさし引かれますが、残高が戻ります。\n礼金\n家主に支払う一時金で返金されないもの。\n報酬\n不動産業者に仲介を依頼した時は、通常1ヶ月分が必要です。""}]"
住む場所について,滋賀県には県営住宅と市営・町営住宅があり、住まい探しには公営住宅と民間賃貸の両方の選択肢があります。県営住宅は年4回募集があり、募集は4月・7月・10月・1月です。市営・町営住宅についてはお住まいの市町役場へ問い合わせてください。民間賃貸を検討する場合は、不動産情報サイトや保証・火災保険の加入、保証人や更新料等の契約条件を確認しましょう。空き家バンクや住宅セーフティネットなど、条件に合う支援制度も利用できます。引っ越し後は転出・転入届などの手続きと近所付き合い、自治会の有無を確認してください。,"[{""sid"": ""S1"", ""question"": ""住む家を探すには？"", ""answer"": ""住まい探しに役立つ情報です。住宅には、「公営住宅」、「賃貸住宅」、「持ち家」などがあります。\n公営住宅\n所得の低い人など一定の条件を満たす人を対象に、公的な住宅があります。定期的に募集をおこない、抽選によって入居が決定します。滋賀県には県営住宅と、市町によって市営や町営住宅があるところもあります。在留資格や所得の要件があるので、確認してください。\n県営住宅\n滋賀県には、県営住宅が県内各地域にあり、年4回（４月、７月、１０月、１月）募集があります。\n市営町営住宅\nお住まいの市町役場に問い合わせてください。\n賃貸住宅\n一般に、日本では不動産屋で物件を探し、書面で契約を結びます。契約時、物件により、礼金や敷金が必要になります。（礼金は家主へのお礼として支払うお金で戻ってきません。敷金とは退去時に原状回復のために使われ、一部戻ってくる場合もあります。）また、連帯保証人が必要な場合と、家賃保証会社を利用する場合があります。その他、不動産屋への仲介手数料の支払いがあります。契約に火災保険の加入が含まれる場合が一般的です。その他、管理費や２年ごとに更新料を支払う必要がある場合が多いです。\nお役立ちサイト\n- [ 不動産情報検索サイト ] （公社）滋賀県宅地建物取引業協会 (https://www.hatomarksite.com/search/shiga/)\n- [ 外国語が話せる不動産店一覧 ] （公財）日本賃貸住宅管理協会 (https://www.jpm.jp/multilingual/index.html)\n- [ 外国人の民間賃貸住宅への円滑な入居について ]　国土交通省 (https://www.mlit.go.jp/jutakukentiku/house/jutakukentiku_house_tk3_000017.html)\n滋賀県の居住支援・住宅セーフティネット制度\n滋賀県での高齢者世帯、障害者世帯、外国人世帯、子育て世帯の入居を受け入れる民間賃貸住宅等の情報です。\n- 滋賀県のセーフティネット住宅 (https://safetynet-jutaku.mlit.go.jp/guest/apart_list.php?pref=25)\n- 滋賀あんしん賃貸住宅 (https://www.pref.shiga.lg.jp/ippan/kendoseibi/zyuutaku/300196.html)\n火災保険\n住宅は賃貸や持ち家にかかわらず、火災保険に加入する必要があります。\n賃貸アパートやマンションなどの場合、入居時や更新時に「大家」と「入居者」がそれぞれ火災保険に加入するケースが一般的です。建物は大家の資産なので、建物に対する火災保険は大家が加入して保険料を支払い、室内の家具や家電などの家財道具に対する保険は、入居者が加入し保険料を支払います。持ち家であれば建物と家財の両方を補償する火災保険に入ります。\n持ち家\n日本では、不動産を購入する際に国籍や在留資格に基づく制限はありません。ただし住宅ローンの借り入れは、永住者や特別永住者の在留資格をお持ちの方に限られています。年齢や所得、勤続年数などの基準を満たし、審査に通ると住宅ローンを組むことができます。また、要件などを満たせば、確定申告で住宅ローン控除を受けることができます。住宅を購入した後、経済状況に変化があった場合は、住宅ローンの借り換えや返済について、銀行に条件変更の相談をしましょう。\nまた、１月１日に住宅を所有している人は、その資産をもとに算定した固定資産税をお住まいの市町役場に支払います。\n空き家バンク\n空き家の賃貸・売却を希望する人が登録した情報を、空き家の利活用を希望する人に紹介する制度です。希望する市町役場の住宅課に空き家バンクがあるかたずねてください。\n- 空き家バンク (https://www.akiya-athome.jp/buy/25/)\n困ったときの相談窓口　（相談無料）\n入居中・契約の解除・明渡し時のトラブルなどの相談窓口：・滋賀県消費生活センター（彦根）/ TEL 0749-23-0999\n住宅取得や不具合、事業者とのトラブルなど様々な住宅についての相談窓口：・住まいるダイヤル/ TEL 03-3556-5147\n引っ越し先が決まったら、何をしたらいいのでしょう？\n届け出\nお住まいの市町役場に転出届を出します。引っ越し後14日以内に、新住所の役場に転居、転入届を出し、在留カードとマイナンバーカードの住所変更も行います。また、子どもさんがおられる方は、新しい保育園、幼稚園、学校への転入手続きも行います。職場、銀行への連絡や、運転免許証の住所変更も必要です。郵便局へ郵便物の転送届を出しておくと、引っ越し前の住所地に届いた郵便物を新住所に転送してもらえます。\n近所との付き合い\n日本では、引っ越した人が近所の人に挨拶をする習慣があります。近所の人と知り合って、ゴミの収集日や収集場所、災害時の避難場所など地域のルールを教えてもらいましょう。\n自治会\n地域ごとに住民が運営する自治会があります。自治会では、住民同士が地域での暮らしを良くするため、防犯、防災、美化活動を行ったり、地域の子どもたちがスポーツや祭りなどを楽しむ「子ども会」があるなど様々な活動をしています。それらの事業の運営のため、会員は自治会費を支払い、役割分担(ぶんたん)もあります。また、細かな地域の情報が掲載された「回覧板」が回ってきます。自治会は任意加入ですが、ゴミ収集場所の管理を自治会がしている場合など、加入が必要になることもあります。災害時などには近所同士の助け合いが必要になるので、近所とのお付き合いは大切にしましょう。\n※地域によって自治会の有無や活動内容、自治会費は異なりますので、必ず確認してください。""}, {""sid"": ""S2"", ""question"": ""住宅を探しています。"", ""answer"": ""県営住宅や市営住宅の他、民間の住宅もあります。市営住宅については市町役場にたずねましょう。\n- 県営住宅 滋賀県営住宅管理センター (https://shiga-kenei.com) ℡　077-510-1500 ℡　077-510-1501　(外国人専用)\n- 滋賀あんしん賃貸支援事業 (https://www.shiga-anshin.net/)\n- 日本賃貸住宅管理協会 (https://www.jpm.jp/) 日本賃貸住宅管理協会 English (https://www.jpm.jp/foreigner/)\n- ＵＲ賃貸住宅 (https://www.ur-net.go.jp/chintai/kansai/shiga/counter/)\n- VILLAGE HOUSE (ENG, POR) (https://www.villagehouse.jp)\n- 大東建託(多言語 Multilingual) (http://e-heya.kentaku.net/shiga/)\n民間賃貸住宅についての相談は\n滋賀県土木交通部住宅課 (http://www.pref.shiga.lg.jp/h/jutaku/sumai_machi/safetynet/soudan.html)\n℡077-528-4235""}, {""sid"": ""S3"", ""question"": ""引っ越し先が決まったら、何をしたらいいのでしょう？"", ""answer"": ""届け出\nお住まいの市町役場に転出届を出します。引っ越し後14日以内に、新住所の役場に転居、転入届を出し、在留カードとマイナンバーカードの住所変更も行います。また、子どもさんがおられる方は、新しい保育園、幼稚園、学校への転入手続きも行います。職場、銀行への連絡や、運転免許証の住所変更も必要です。郵便局へ郵便物の転送届を出しておくと、引っ越し前の住所地に届いた郵便物を新住所に転送してもらえます。\n近所との付き合い\n日本では、引っ越した人が近所の人に挨拶をする習慣があります。近所の人と知り合って、ゴミの収集日や収集場所、災害時の避難場所など地域のルールを教えてもらいましょう。\n自治会\n地域ごとに住民が運営する自治会があります。自治会では、住民同士が地域での暮らしを良くするため、防犯、防災、美化活動を行ったり、地域の子どもたちがスポーツや祭りなどを楽しむ「子ども会」があるなど様々な活動をしています。それらの事業の運営のため、会員は自治会費を支払い、役割分担(ぶんたん)もあります。また、細かな地域の情報が掲載された「回覧板」が回ってきます。自治会は任意加入ですが、ゴミ収集場所の管理を自治会がしている場合など、加入が必要になることもあります。災害時などには近所同士の助け合いが必要になるので、近所とのお付き合いは大切にしましょう。\n※地域によって自治会の有無や活動内容、自治会費は異なりますので、必ず確認してください。""}, {""sid"": ""S4"", ""question"": ""引っ越し先が決まったら、何をしたらいいのでしょう？"", ""answer"": ""届け出\nお住まいの市町役場に転出届を出します。引っ越し後14日以内に、新住所の役場に転居、転入届を出し、在留カードとマイナンバーカードの住所変更も行います。\nまた、子どもさんがおられる方は、新しい保育園、幼稚園、学校への転入手続きも行います。職場、銀行への連絡や、運転免許証の住所変更も必要です。郵便局へ郵便物の転送届を出しておくと、引っ越し前の住所地に届いた郵便物を新住所に転送してもらえます。\n近所との付き合い\n日本では、引っ越した人が近所の人に挨拶をする習慣があります。近所の人と知り合って、ゴミの収集日や収集場所、災害時の避難場所など地域のルールを教えてもらいましょう。\n自治会\n地域ごとに住民が運営する自治会があります。自治会では、住民同士が地域での暮らしを良くするため、防犯、防災、美化活動を行ったり、地域の子どもたちがスポーツや祭りなどを楽しむ「子ども会」があるなど様々な活動をしています。それらの事業の運営のため、会員は自治会費を支払い、役割分担もあります。また、細かな地域の情報が掲載された「回覧板」が回ってきます。自治会は任意加入ですが、ゴミ収集場所の管理を自治会がしている場合など、加入が必要になることもあります。災害時などには近所同士の助け合いが必要になるので、近所とのお付き合いは大切にしましょう。\n※地域によって自治会の有無や活動内容、自治会費は異なりますので、必ず確認してください。""}, {""sid"": ""S5"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
保護者と話したい,滋賀県の情報に基づくと、保護者と学校はPTAや保護者会を通じて協力し、子どもの健全な成長を見守る活動を行います。入会金が必要な場合があり、活動内容は学校ごとに異なるため、入学時の案内を確認してください。,"[{""sid"": ""S1"", ""question"": ""[小学校デビューQ＆A] 保護者はどのように学校と関わりますか？"", ""answer"": ""小学校にはPTAや保護者会があります。保護者と教職員が協力し合い、学校に通う子どもたちの健全な成長を見守る活動を行うのが、主な目的です。活動を支えるための入会金も必要になります。学校によって活動内容や運営方法は様々なので、入学時の案内を確認してください。""}]"
バレーボールのサークルについて,滋賀県国際協会の公式情報として、バレーボールのサークルに関する具体的な情報は公開されていません。,[]
クレジットカードの支払い金の調整,クレジットカードの支払い金額の調整に関しては、公式な窓口へ相談することをおすすめします。具体的には、カード会社のカスタマーサービスに連絡して、支払い条件の変更（分割日変更・支払日変更・猶予など）の相談をしてください。滞納や遅延が懸念される場合は、事前に事情を伝え、返済計画の作成を依頼することが重要です。なお、未納料金の名目で電子マネー等を要求するような手口には絶対に応じず、公式窓口以外の連絡には答えないでください。必要に応じて、滋賀県内の消費生活センターや金融サービス利用者相談室等の公的窓口に相談してください。,"[{""sid"": ""S1"", ""question"": ""金融トラブルにご注意！！"", ""answer"": ""電子マネーのトラブル\nインターネット有料サイトの利用料金未納を騙った架空請求など、詐欺行為の支払手段として現金だけでなく、電子マネーを悪用した被害が急増しています。\n※※プリペイドカードなどの電子マネーは、相手にカードを渡さなくても、カードに記載された番号等を伝えるだけで電子マネーの価値を譲渡したことになります。\n詐欺です！：コンビニで電子マネーカードを買って、カード番号を教えて。\n！身に覚えのない請求等に返信、連絡しないでください。\n！事業者、法務省や裁判所などが「未納料金などの支払い」の名目で、　　コンビニで電子マネーカードを購入させることは絶対にありません。\nマネー・ロンダリング（犯罪に関係するお金を持っている人をわからなくすること）は違法です！\n詐欺です！：「このお金をあなたの口座から送金してほしいんです。一万円あげますから。」\n！口座を他人にあげるなどの行為は違法です。\n！違法な業者かどうか判断できない場合はその業者は使わないでください。\n　金融庁ウェブサイトの資金移動業者登録一覧に載っていない業者は違法です。\n　ここから確認できます\nメール・SMS（ショートメッセージサービス）による被害防止対策として、あらかじめ受信拒否設定をしておくことが効果的です。\n！おかしいと思ったら、すぐに家族や友人、警察＃9110（警察相談専用電話）に相談！\n- 消費者ホットライン　　　　１８８　（日本語）\n- 訪日外国人観光客消費者ホットライン 03-5449-0906 英語・中国語・韓国語・タイ語・ベトナム語・フランス語・日本語\n- 金融サービス利用者相談室0570-016811（从ＩＰ電話からは：03-5251-6811）\n- 英語ワンストップ窓口 　　　email: equestion@fsa.go.jp""}]"
友人への支援,友人が生活に困っている場合は、市役所の福祉窓口または社会福祉協議会に相談しましょう。必要に応じて、同センターの相談窓口や地域の子育て支援・居場所情報も活用できます。,"[{""sid"": ""S1"", ""question"": ""生活に困ったら"", ""answer"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}]"
海外のオンライン高校への転校について,滋賀県国際協会の情報には、海外のオンライン高校への転校に直接言及した情報は含まれていません。代わりに、日本国内の高等教育・就学制度、フリースクール、夜間中学などの情報が提供されています。海外のオンライン高校への転校を検討する場合は、文部科学省や在外公館、現地校の受入れ条件など別の公的情報源を確認してください。,"[{""sid"": ""S1"", ""question"": ""高等教育について"", ""answer"": ""高校卒業後、さらに進学する場合、４年制の大学、２年または３年制の短期大学、専門学校など様々な道があります。それらの教育機関には、国立・公立・私立があり、専門科目についても選択肢は多数あります。また、短期大学や専門学校から大学に編入できたり、専門学校に在籍して大学や短大の授業を併修することもできます。\n大学の入学資格は、一般に日本の高校、または高等学校相当と指定された外国人学校で１２年間の学校教育課程を修了することです。その他、外国の学校を卒業した人、また教育課程が１２年に満たない人には次のような方法があります。詳しくは文部科学省のホームページで確認してください。\n1. 高卒認定試験に合格する。 高卒認定試験 (http://www.mext.go.jp/a_menu/koutou/shiken/)\n2. 初等中等教育が１２年以上の国から来た人の場合：外国の学校で初等中等教育12年以上受けている、または相当する学力認定試験に合格するなど。\n3. 初等中等教育が１２年未満の国から来た人の場合：外国において、高校に対応する学校の課程の修了、または高校修了相当の学力認定試験に合格＋文部科学大臣指定の準備教育課程、または研修施設を修了する。 文部科学大臣指定の準備教育課程 (http://www.mext.go.jp/a_menu/koutou/shikaku/07111314/001.htm) 研修施設 (http://www.mext.go.jp/a_menu/koutou/shikaku/07111314/002.htm)\n高等教育の学費は、教育機関や専攻する分野によって異なります。また遠方の学校に通学する場合には家賃や生活費も念頭に置かなければなりません。経済的な事情から進学をためらうことのないよう、奨学金についての情報も収集しておきましょう。""}, {""sid"": ""S2"", ""question"": ""さまざまな学校"", ""answer"": ""フリースクール\n学校とは異なるもうひとつの学びの場があります。学校に通えない子どもに多様な学びを提供し、精神的にも身体的にも安心・安全に過ごせる居場所にもなっています。\nフリースクールに通う子どもに対しての助成金がある市町もあるので各教育委員会にご確認ください。\n外国につながる子どものためのオンライン学習\n・ABCフリースクール　外国人のための日本の高校進学サポート。オンラインで授業を受講。(有料)\n・NICO PROJECT/YSCグローバル・スクール　オンラインで専門家から日本語の授業を受講。(有料)\n夜間中学\n中学校の就学義務年齢（満15歳）を過ぎた人で、中学校未修了、または不登校など様々な理由により十分学ぶことができなかった人などのための学び直しの場です。\n- 週5日（月曜日から金曜日まで）、一日4時間授業があります。\n- 中学校のすべての教科（9教科）を学びます。\n- 卒業すると、中学校卒業の資格が得られます。\n- 教科書代と授業料は無料です。（教材代など必要な場合もあります。）\n2025年4月から、滋賀県湖南市に夜間学級が開校します。\n問い合わせ\n湖南市教育委員会事務局　学校教育課　Tel　0748-77-7011""}, {""sid"": ""S3"", ""question"": ""日本留学総合ガイド"", ""answer"": ""外務省でウェブサイトを公開しています。""}, {""sid"": ""S4"", ""question"": ""小学校、中学校"", ""answer"": ""日本国内に住所を有する外国人の子どもは、日本の小中学校に就学する義務を負うものではありませんが、希望する場合は就学することができます。公立小中学校は授業料はいりませんが、教材費などは必要です。\n就学の問い合わせ\n- 公立小中学校への就学：各市町村教育委員会\n- 私立小中学校への就学：直接、各小中学校""}, {""sid"": ""S5"", ""question"": ""高校の入学"", ""answer"": ""一般の日本の高校へ入学するためには、入学試験に合格しなければなりません。\n応募資格\n年齢が入学しようとする年の4月1日までに15才に達していること。\n原則として、外国で9年間の学校教育を終了しているか、日本の中学校を卒業、又は卒業見込であること。\n入学の問い合わせ\n滋賀県教育委員会事務局 ： 077-528-4573""}]"
保護者に連絡したい,S1の情報に基づき、ペットの行方不明時や保護時には最寄りの警察署・交番または動物愛護センターへ連絡してください。滋賀県国際協会の情報としては、動物関連の具体的連絡先は記載されていませんが、一般的には最寄り機関へ連絡するのが適切です。,"[{""sid"": ""S1"", ""question"": ""ペットが行方不明になったり、保護した場合は？"", ""answer"": ""動物愛護センターや最寄りの交番か警察署に連絡しましょう。""}]"
自賠責保険の受け取り,ご質問の自賠責保険の受け取りについて、提供された情報(S1〜S5)には自賠責保険に関する記載が含まれていません。従って、滋賀県国際協会の情報のみを根拠に事実ベースで回答すると、自賠責保険の受け取りに関する手続きや要件をこの資料から確認することはできません。詳細は居住地の窓口や所轄の警察署・自賠責保険の公式情報をご参照ください。,"[{""sid"": ""S1"", ""question"": ""雇用保険"", ""answer"": ""雇用保険制度とは、在職中の労働者の雇用の安定を図り、失業中の労働者に対して、生活の安定と再就職の促進のために失業等給付を行うものです。　失業等給付は、労働者と事業主が支払う保険料によってまかなわれており、日本で雇用されれば外国の失業保険制度の適用を受けていることが立証された者を除き、原則として国籍（無国籍を含む）のいかんに関わらず被保険者となり、事業主を通じて被保険者になります。\n労働者が会社を自己都合、解雇などで離職した場合、次の条件を満たし、公共職業安定所が認めれば基本手当てを受給することができます。\n- 日本国内での就労に制限のない方で日本において反復して就労することが可能な方。\n- 離職日以前２年間に、被保険者期間が通算して１２ヶ月以上ある。（解雇や倒産の場合は離職の日以前１年間に通算６ヶ月以上）\n- 離職したため、被保険者の資格をなくしたことが確認された。\n- 仕事をしたくても仕事に就けない。\n※詳しくは、居住地の公共職業安定所までお問い合わせください。\n雇用保険の手続きについて (https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/koyouhoken/index_00003.html)""}, {""sid"": ""S2"", ""question"": ""雇用保険"", ""answer"": ""雇用保険制度とは、在職中の労働者の雇用の安定を図り、失業中の労働者に対して、生活の安定と再就職の促進のために失業等給付を行うものです。　失業等給付は、労働者と事業主が支払う保険料によってまかなわれており、日本で雇用されれば外国の失業保険制度の適用を受けていることが立証された者を除き、原則として国籍（無国籍を含む）のいかんに関わらず被保険者となり、事業主を通じて被保険者になります。\n労働者が会社を自己都合、解雇などで離職した場合、次の条件を満たし、公共職業安定所が認めれば基本手当てを受給することができます。\n- 日本国内での就労に制限のない方で日本において反復して就労することが可能な方。\n- 離職日以前２年間に、被保険者期間が通算して１２ヶ月以上ある。（解雇や倒産の場合は離職の日以前１年間に通算６ヶ月以上）\n- 離職したため、被保険者の資格をなくしたことが確認された。\n- 仕事をしたくても仕事に就けない。\n※詳しくは、居住地の公共職業安定所までお問い合わせください。""}, {""sid"": ""S3"", ""question"": ""【健康保険シリーズ１】  日本の公的保険制度について"", ""answer"": ""日本の会社に就職して仕事を始めると、お給料から社会保険料が引かれていることに気が付くと思います。この“社会保険”とは何を指すのでしょうか。日本では様々な社会保険制度があり、国籍に関わらず皆さんが加入し保障を受けることができます。\n今回はその中の健康保険について、会社にお勤めの方と、そうでない方の違いを見てみましょう。\n会社で働いてお給料をもらっている方：会社を通じて社会保険に加入します。保険料は給料から天引きになりますが、保険料の半分を会社が負担してくれています。また、扶養の家族も一緒に加入することができます。家族は保険料がかかりません。健康保険と年金はセットで加入します。\n自営業・無職など会社にお勤めではない方（上記以外の方）：個人で国民健康保険に加入します。保険料はご自身でお住いの市役所に納める必要があります。保険料は家族分を含め、全額自己負担となります。同様に年金も、個人で国民年金に加入します。\n●　病院での支払いが3割で済むのはどちらも同じです。また医療費が高額になった時の給付、出産や死亡の時の給付も同じです。会社の社会保険には病気や出産で仕事を休んだ時に、お給料を一部保障する給付がありますが、国民健康保険にはありません。\n健康保険の加入と脱退の手続きについて\n会社に就職したとき：社会保険に加入するときは会社が手続きをしてくれますが、それまで加入していた国民健康保険の脱退の手続きは自分でする必要があります。保険料が二重で請求されることのないよう、お住いの市役所で脱退の手続きをしてください。\n会社を退職したとき：退職し社会保険の資格が喪失したときは、保険証は使えなくなっていますので、すぐに会社に返却しましょう。そして自分で市役所に行って国民健康保険に加入し、保険証をもらう手続きをする必要があります。他にも社会保険を任意で継続加入する、ご家族の扶養に入るといった選択肢もありますので確認してみてください。""}, {""sid"": ""S4"", ""question"": ""医療保険制度"", ""answer"": ""日本の医療保険制度には、大きく分けて「健康保険」と「国民健康保険」があります。外国人も1年以上在留する場合はいずれかの保険に加入しなければなりません。医療保険に加入することにより、被保険者やその被扶養者が病気やけがをして診療を受ける場合に医療給付が受けられます。\n健康保険\n会社で常時雇用されている人は健康保険制度が適用されます。被保険者とその扶養者が加入し給付が受けられます。保険料は、加入者の所得によって決まりますが、本人が負担するのは半分で、残りの半分は雇用主が支払います。\n医療費自己負担　　3割\n- その他の給付：傷病給付、出産育児一時金、出産手当金など\n国民健康保険\n一年以上日本に居住し，健康保険に加入していない場合、居住地の市町村で国民健康保険に加入しなければなりません。\n 保険料は、加入世帯の所得、固定資産税額、世帯の人数などをもとに毎年決めています。\n医療費自己負担　　3割\n- その他の給付：出産一時金、　高額医療費、葬祭費（加入者が死亡したとき）\n- 病院で治療、診察を受ける時には健康保険証を必ず受け付けで渡して下さい。""}, {""sid"": ""S5"", ""question"": ""医療保険制度"", ""answer"": ""日本の医療保険制度には、大きく分けて「健康保険」と「国民健康保険」があります。外国人も1年以上在留する場合はいずれかの保険に加入しなければなりません。医療保険に加入することにより、被保険者やその被扶養者が病気やけがをして診療を受ける場合に医療給付が受けられます。\n健康保険\n会社で常時雇用されている人は健康保険制度が適用されます。被保険者とその扶養者が加入し給付が受けられます。保険料は、加入者の所得によって決まりますが、本人が負担するのは半分で、残りの半分は雇用主が支払います。\n医療費自己負担　　3割\n- その他の給付：傷病給付、出産育児一時金、出産手当金など\n国民健康保険\n一年以上日本に居住し，健康保険に加入していない場合、居住地の市町村で国民健康保険に加入しなければなりません。\n 保険料は、加入世帯の所得、固定資産税額、世帯の人数などをもとに毎年決めています。\n医療費自己負担　　3割\n- その他の給付：出産一時金、　高額医療費、葬祭費（加入者が死亡したとき）\n- 病院で治療、診察を受ける時には健康保険証を必ず受け付けで渡して下さい。""}]"
