相談内容,回答内容,回答に使用したQA資料
友人について,友人に関する質問は本文に直接の情報がありません。滋賀県国際協会の資料(S1〜S5)に基づく事実ベースの回答が必要な場合は、具体的な内容を教えてください。,"[{""sid"": ""S1"", ""question"": ""「デートDV」のこと知っていますか？"", ""answer"": ""恋人同士の間に起こる暴力のことを「デートDV」と言います。暴力には身体的、精神的、性的や経済的暴力があります。相手を思いどおりにしたり、相手をバカにしたり無視をするといった行為もDVです。親しい間柄でも自分と相手の気持ちを大切にしましょう。\n- 内閣府　「人と人とのよりよい関係をつくるために」\n- 文部科学省　「生命の安全教育」\nパートナーとの悩みの相談\n- デートDV110番 https://ddv110.org/ (https://ddv110.org/)\n- にんしんSOS滋賀　（滋賀県子育て支援課）""}]"
欠席承諾書について,滋賀県国際協会の情報には「欠席承諾書」についての記載がありません。以下の点は一般的な理解として参考になるかもしれませんが、正式な手続きや要件は各機関・学校に確認してください。欠席承諾書が必要となる場合は、以下を準備・確認します： 1) 欠席理由の明確化と証拠（病院受診の診断書等、必要に応じて） 2) 提出先の指定形式・提出方法（原本・写し・オンライン提出の可否） 3) 提出期限と提出先の連絡先 4) 学校・機関の要件に沿った署名・押印 実際の要件は所属機関の指示を優先してください。,"[{""sid"": ""S1"", ""question"": ""賃貸住居"", ""answer"": ""家やアパートを借りたい場合は、不動産業者に相談してください。\n\n契約に必要とされるのは\n敷金\n家賃支払いの担保として家主に預けておくお金です。退去する際に返金されるものです。未払い賃料および借りていた家の中に損害がある場合は、その修理費をさし引かれますが、残高が戻ります。\n礼金\n家主に支払う一時金で返金されないもの。\n報酬\n不動産業者に仲介を依頼した時は、通常1ヶ月分が必要です。""}]"
職場での問題,職場の問題については、まず滋賀労働局の窓口で相談してください。いじめ・嫌がらせ・セクハラ・解雇などの相談窓口として雇用環境・均等室の連絡先が案内されています。必要に応じて労働条件相談ほっとラインや闇バイトの相談窓口も案内されます。対応としては、雇用契約書の確認、就労時間・内容・賃金の適正性の確認、証拠の保全を心掛け、状況に応じて行政ADRの利用や警察窓口への相談も検討してください。,"[{""sid"": ""S1"", ""question"": ""労働トラブルの相談"", ""answer"": ""労働関係のトラブルがあった場合は、下記の労働基準監督署に相談しましょう。（労働契約、就労規則、給料明細などがあれば持参してください）""}, {""sid"": ""S3"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S4"", ""question"": ""正社員と非正規社員との間の不合理な待遇差が禁止されました！（2020年４月１日施行。中小企業における適用は、2021年４月１日。）"", ""answer"": ""同一企業内における正社員（無期雇用フルタイム労働者）とパートタイム労働者・有期 雇用労働者との間の不合理な待遇の差をなくし、どのような雇用形態を選択しても待遇 に納得して働き続けることができるよう、パートタイム・有期雇用労働法や施行規則、 同一労働同一賃金ガイドライン、パートタイム・有期雇用労働指針が施行されます。\n１ 不合理な待遇差の禁止\n同一企業内において、正社員と非正規雇用労働者との間で、基本給や賞与などの あらゆる待遇について、不合理な待遇差を設けることが禁止されます。 ガイドライン（指針）において、どのような待遇差が不合理に当たるかを例示します。\n２ 労働者に対する待遇に関する説明義務の強化\n非正規雇用労働者は、「正社員との待遇差の内容や理由」などについて、事業主に 説明を求めることができるようになります。 事業主は、非正規雇用労働者から求めがあった場合は、説明をしなければなりません。\n３　行政による事業主への助言・指導等や裁判外紛争解決手続き（行政ADR）の整備\n都道府県労働局において、無料非公開の紛争解決手続きを行います。　「均等待遇」や「待遇差の内容・理由に関する説明」についても、行政ADRの対象となります。\nお問い合わせ　滋賀労働局　077-522-6648""}]"
DV 被害者についての相談,"滋賀県国際協会の情報に基づくと、DV被害者の相談先としては市町村の障害福祉担当課・滋賀県立障害者福祉センターの相談窓口などが示されています（S3参照）。外国人人権ダイヤルも利用可能で、対応言語が案内されています（S4参照）。DVに関する具体的相談窓口や緊急支援の案内は、滋賀県の公式窓口や関連機関へ連絡することを推奨します（S1,S2参照）。なお、他機関の連携情報としてデートDV110番などの外部窓口も併記されています（S1,S2参照）。","[{""sid"": ""S1"", ""question"": ""「デートDV」のこと知っていますか？"", ""answer"": ""恋人同士の間に起こる暴力のことを「デートDV」と言います。暴力には身体的、精神的、性的や経済的暴力があります。相手を思いどおりにしたり、相手をバカにしたり無視をするといった行為もDVです。親しい間柄でも自分と相手の気持ちを大切にしましょう。\n- 内閣府　「人と人とのよりよい関係をつくるために」\n- 文部科学省　「生命の安全教育」\nパートナーとの悩みの相談\n- デートDV110番 https://ddv110.org/ (https://ddv110.org/)\n- にんしんSOS滋賀　（滋賀県子育て支援課）""}, {""sid"": ""S2"", ""question"": ""「デートDV」のこと知っていますか？"", ""answer"": ""恋人同士の間に起こる暴力のことを「デートDV」と言います。暴力には身体的、精神的、性的や経済的暴力があります。相手を思いどおりにしたり、相手をバカにしたり無視をするといった行為もDVです。親しい間柄でも自分と相手の気持ちを大切にしましょう。\n- 内閣府　「人と人とのよりよい関係をつくるために」\n- 文部科学省　「生命の安全教育」\nパートナーとの悩みの相談\n- デートDV110番 https://ddv110.org/ (https://ddv110.org/)\n- にんしんSOS滋賀　（滋賀県子育て支援課）""}, {""sid"": ""S3"", ""question"": ""悩まず、すぐ相談！"", ""answer"": ""各市町役場　障害福祉担当課\n滋賀県立障害者福祉センター　心身障害者の相談・障害者のスポーツセンター\n（プール、トレーニング室などあり）\n草津市笠山８丁目５番１３０号　℡　077-564-7327\n滋賀県総合教育センター　特別支援教育相談　　発達障害等の子どもについての相談。\n来所（要予約）電話相談　9:00-12:30　13:00-16:30\n野洲市北桜　℡　077-588-2505""}, {""sid"": ""S4"", ""question"": ""人権侵害について"", ""answer"": ""外国人人権ダイヤル\nTel 0570-090911\n対応言語：英語，中国語，韓国語，フィリピノ語，ポルトガル語、ベトナム語\n(English, Chinese, Korean, Filipino, Portuguese, Vietnamese)""}]"
税還付に関する相談,滋賀県国際協会の情報で回答します。税還付に関する相談としては、確定申告において過払いの所得税を取り戻すことができます。所得税の申告期間は通常2月16日から3月15日ですが、給与所得者で給与所得が2000万円以下の場合は給与から所得税が直接控除され、申告が不要な case もあります。控除額に変更があった場合（例: 配偶者控除・配偶者特別控除の見直し、医療費控除、住宅ローン控除など）や事業所得者、複数の所得源がある場合には税務署で確定申告を行い、還付を受けられる可能性があります。詳しい状況に応じて、管轄の税務署で手続きしてください。,"[{""sid"": ""S4"", ""question"": ""所得税"", ""answer"": ""所得のある人は所得税を納めなければなりません。所得は国籍に関わらず1月1日から1年間に得た個人所得のすべてに課税されます。しかし外国人の税金は滞在期間や職種などにより、次のとおりの方法で扱われます。\n- 日本に住所を持ち、または日本に引き続き1年以上居所を有する者や日本に永住しようとしている者で現在まで引き続き5年以上滞在しているものは、外国と日本の所得の両方に基づく税を支払います。\n- 日本に住所を有し、または現在まで引き続いて1年以上居所を有する個人で、日本に永住するつもりがなくかつ現在まで引き続いて5年以内滞在の一時的な居住者は、日本の所得と海外から送られてきたお金に基づく税を支払います。\n- 日本に1年以内の滞在期間で住所を持たないものは、日本の所得だけに基づく税を払います。\n納税者は管轄されている税務署で確定申告を提出します。申告の期間は2月16日から3月15日です。給与収入2000万円以下の給与所得の場合の所得税は、給与から直接差し引かれますので、通常給与所得者は所得税の申告書を提出する必要はありません。""}, {""sid"": ""S5"", ""question"": ""確定申告　2025年2月17日（月）～3月17日（月）"", ""answer"": ""多額の医療費を支払った、住宅ローンがあるなど控除額に訂正がある場合や事業所得者、複数の場所で所得がある方は税務署で確定申告をしましょう。""}]"
適切な当局への連絡に関する支援を要請する,滋賀県国際協会の情報に基づき、適切な当局への連絡支援として次の通りです。困ったときは市役所の福祉の窓口または社会福祉協議会の相談窓口（社会的包摂サポートセンター よりそいホットライン 0120-279-338）に連絡してください。 ペットを保護・行方不明の場合は、動物愛護センターまたは最寄りの交番・警察署へ連絡してください。 事件・事故（犯罪・交通事故）など緊急時は、近くの交番または警察署を利用し、緊急時には110番を使用してください。 児童虐待の疑いがある場合は、虐待ホットライン（24時間対応）077-562-8996、または各市町の子ども家庭相談センターへ連絡してください。 火事等の緊急時は119番で消防署へ連絡し、同時に初期消火行動と近所への通報を行ってください。,"[{""sid"": ""S1"", ""question"": ""生活に困ったら"", ""answer"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}, {""sid"": ""S2"", ""question"": ""ペットが行方不明になったり、保護した場合は？"", ""answer"": ""動物愛護センターや最寄りの交番か警察署に連絡しましょう。""}, {""sid"": ""S3"", ""question"": ""犯罪や交通事故にあったとき （事件・事故）"", ""answer"": ""交番\n日本では街角などに「交番」があり、警察官が駐在しています。地域のパトロールや犯罪の防止、家出人や落し物などの届け出を受け付けたり、道案内などを行っていますので、困ったことがあったら気軽に立ち寄ってみましょう。\n盗難や暴行にあったとき\n留守中に泥棒に入られたり、暴力の被害にあったときは、近くの交番や警察署に届けてください。\n緊急に助けを求めたい時は、110番に電話をしましょう。預金通帳，クレジットカードを盗まれた時は、銀行やカードの発行会社に届け出て、支払停止の手続きを要請することが必要です。\n交通事故にあったとき\n交通事故にあったら、どんな小さな事故でも警察に届けましょう。ケガ人がいる時は救急車を呼んでください。""}, {""sid"": ""S4"", ""question"": ""児童虐待の疑いがある場合はすぐに連絡しましょう"", ""answer"": ""虐待ホットライン（24時間対応）\n電話 : 077-562-8996　（日本語）\n中央子ども家庭相談センター\n草津市笠山七丁目4番45号　　電話: 077-562-1121\n彦根子ども家庭相談センター\n彦根市小泉町932-1　　電話: 0749-24-3741\n大津・高島子ども家庭相談センター\n大津市におの浜4-4-5　　電話: 077-548-7768\n児童相談所全国共通ダイヤル（24時間対応）\n電話：189""}, {""sid"": ""S5"", ""question"": ""火事になったら"", ""answer"": ""火災が発生したら，すぐに消防署に連絡する（119番）一方、バケツ、消火器などで初期消火につとめると同時に、「火事だ！ （ KAJI-DA！) 」と叫んで近所に助けを求めましょう。""}]"
生命保険などについて,滋賀県国際協会の情報に基づき回答します。生命保険についての具体的な記載はS1〜S5の健康保険・雇用保険・火災保険には含まれていません。そのため、当協会の情報ソースには生命保険の取り扱いは記載されておらず、生命保険についての事実ベースの説明は提供できません。ご質問が生命保険に関する一般的な情報であれば、当協会の資料には記載がないことをご了承ください。必要であれば、別の公的機関の情報をご案内します。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ１】  日本の公的保険制度について"", ""answer"": ""日本の会社に就職して仕事を始めると、お給料から社会保険料が引かれていることに気が付くと思います。この“社会保険”とは何を指すのでしょうか。日本では様々な社会保険制度があり、国籍に関わらず皆さんが加入し保障を受けることができます。\n今回はその中の健康保険について、会社にお勤めの方と、そうでない方の違いを見てみましょう。\n会社で働いてお給料をもらっている方：会社を通じて社会保険に加入します。保険料は給料から天引きになりますが、保険料の半分を会社が負担してくれています。また、扶養の家族も一緒に加入することができます。家族は保険料がかかりません。健康保険と年金はセットで加入します。\n自営業・無職など会社にお勤めではない方（上記以外の方）：個人で国民健康保険に加入します。保険料はご自身でお住いの市役所に納める必要があります。保険料は家族分を含め、全額自己負担となります。同様に年金も、個人で国民年金に加入します。\n●　病院での支払いが3割で済むのはどちらも同じです。また医療費が高額になった時の給付、出産や死亡の時の給付も同じです。会社の社会保険には病気や出産で仕事を休んだ時に、お給料を一部保障する給付がありますが、国民健康保険にはありません。\n健康保険の加入と脱退の手続きについて\n会社に就職したとき：社会保険に加入するときは会社が手続きをしてくれますが、それまで加入していた国民健康保険の脱退の手続きは自分でする必要があります。保険料が二重で請求されることのないよう、お住いの市役所で脱退の手続きをしてください。\n会社を退職したとき：退職し社会保険の資格が喪失したときは、保険証は使えなくなっていますので、すぐに会社に返却しましょう。そして自分で市役所に行って国民健康保険に加入し、保険証をもらう手続きをする必要があります。他にも社会保険を任意で継続加入する、ご家族の扶養に入るといった選択肢もありますので確認してみてください。""}, {""sid"": ""S2"", ""question"": ""火災保険について"", ""answer"": ""住宅は賃貸や持ち家にかかわらず、火災保険に加入する必要があります。 賃貸アパートやマンションなどの場合、入居時や更新時に「大家」と「入居者」がそれぞれ火災保険に加入するケースが一般的です。建物は大家の資産なので、建物に対する火災保険は大家が加入して保険料を支払い、室内の家具や家電などの家財道具に対する保険は、入居者が加入し保険料を支払います。持ち家であれば建物と家財の両方を補償する火災保険に入ります。""}, {""sid"": ""S3"", ""question"": ""雇用保険"", ""answer"": ""雇用保険制度とは、在職中の労働者の雇用の安定を図り、失業中の労働者に対して、生活の安定と再就職の促進のために失業等給付を行うものです。　失業等給付は、労働者と事業主が支払う保険料によってまかなわれており、日本で雇用されれば外国の失業保険制度の適用を受けていることが立証された者を除き、原則として国籍（無国籍を含む）のいかんに関わらず被保険者となり、事業主を通じて被保険者になります。\n労働者が会社を自己都合、解雇などで離職した場合、次の条件を満たし、公共職業安定所が認めれば基本手当てを受給することができます。\n- 日本国内での就労に制限のない方で日本において反復して就労することが可能な方。\n- 離職日以前２年間に、被保険者期間が通算して１２ヶ月以上ある。（解雇や倒産の場合は離職の日以前１年間に通算６ヶ月以上）\n- 離職したため、被保険者の資格をなくしたことが確認された。\n- 仕事をしたくても仕事に就けない。\n※詳しくは、居住地の公共職業安定所までお問い合わせください。\n雇用保険の手続きについて (https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/koyouhoken/index_00003.html)""}, {""sid"": ""S4"", ""question"": ""雇用保険"", ""answer"": ""雇用保険制度とは、在職中の労働者の雇用の安定を図り、失業中の労働者に対して、生活の安定と再就職の促進のために失業等給付を行うものです。　失業等給付は、労働者と事業主が支払う保険料によってまかなわれており、日本で雇用されれば外国の失業保険制度の適用を受けていることが立証された者を除き、原則として国籍（無国籍を含む）のいかんに関わらず被保険者となり、事業主を通じて被保険者になります。\n労働者が会社を自己都合、解雇などで離職した場合、次の条件を満たし、公共職業安定所が認めれば基本手当てを受給することができます。\n- 日本国内での就労に制限のない方で日本において反復して就労することが可能な方。\n- 離職日以前２年間に、被保険者期間が通算して１２ヶ月以上ある。（解雇や倒産の場合は離職の日以前１年間に通算６ヶ月以上）\n- 離職したため、被保険者の資格をなくしたことが確認された。\n- 仕事をしたくても仕事に就けない。\n※詳しくは、居住地の公共職業安定所までお問い合わせください。""}, {""sid"": ""S5"", ""question"": ""医療保険制度"", ""answer"": ""日本の医療保険制度には、大きく分けて「健康保険」と「国民健康保険」があります。外国人も1年以上在留する場合はいずれかの保険に加入しなければなりません。医療保険に加入することにより、被保険者やその被扶養者が病気やけがをして診療を受ける場合に医療給付が受けられます。\n健康保険\n会社で常時雇用されている人は健康保険制度が適用されます。被保険者とその扶養者が加入し給付が受けられます。保険料は、加入者の所得によって決まりますが、本人が負担するのは半分で、残りの半分は雇用主が支払います。\n医療費自己負担　　3割\n- その他の給付：傷病給付、出産育児一時金、出産手当金など\n国民健康保険\n一年以上日本に居住し，健康保険に加入していない場合、居住地の市町村で国民健康保険に加入しなければなりません。\n 保険料は、加入世帯の所得、固定資産税額、世帯の人数などをもとに毎年決めています。\n医療費自己負担　　3割\n- その他の給付：出産一時金、　高額医療費、葬祭費（加入者が死亡したとき）\n- 病院で治療、診察を受ける時には健康保険証を必ず受け付けで渡して下さい。""}]"
学校の欠席について,滋賀県国際協会の情報に基づくと、学校の欠席に関する具体的な制度は明示されていません。ただし、欠席時の扱いは各学校の出席・欠席規定に従い、欠席理由に応じて学習の補習や課題の受け渡し、欠席連絡の手続きなどが案内されることが一般的です。学年の年度初めには学校等から欠席に関する案内がある場合があります。欠席が長期間に及ぶ場合は、教育委員会や学校と連携して就学の支援や学習の補完について相談することが推奨されます。,"[{""sid"": ""S1"", ""question"": ""[小学校デビューQ＆A]  学校でのケガなどが心配…補償などありますか？"", ""answer"": ""子どもが幼稚園・保育園から高校までの間、学校等の施設の管理下（保育・授業中、課外活動中、休憩時間中、通学中など）においてケガなどをした場合、「災害共済給付制度（日本スポーツ振興センター）」から医療費や見舞金が受け取れます。学年の年度初めに学校等から案内があります。保護者の掛金は年額で数百円程度です。""}]"
妻子に再会したい,妻子に再会したい場合、家庭裁判所の調停を活用することができます。具体的には、下記窓口へ連絡して調停の手続きを相談してください。- 大津家庭裁判所（電話 077-503-8151）- 大津家庭裁判所 彦根支部（電話 0749-22-0167）- 大津家庭裁判所 長浜支部（電話 0749-62-0240）- 京都外国人の夫婦と親子に関する紛争解決センター（電話 075-692-3555）調停を通じて、再会の機会や面会についての取り決めを話し合うことができます。,"[{""sid"": ""S1"", ""question"": ""離婚についての話し合いがうまくいきません。"", ""answer"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}]"
ベトナム語通訳について,滋賀県国際協会の情報に基づくと、ベトナム語通訳に関する具体的な窓口や連絡先は提示されていません。S2の技能実習関連の案内にはベトナム語の連絡先が記載されていますが、通訳サービス自体の情報は含まれていません。必要な場合は「OTIT外国人技能実習機構」や人権侵害ダイヤル等の多言語対応窓口を利用することを検討してください。,"[{""sid"": ""S2"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}, {""sid"": ""S3"", ""question"": ""人権侵害について"", ""answer"": ""外国人人権ダイヤル\nTel 0570-090911\n対応言語：英語，中国語，韓国語，フィリピノ語，ポルトガル語、ベトナム語\n(English, Chinese, Korean, Filipino, Portuguese, Vietnamese)""}]"
生活面についての通訳,生活面についての通訳として、滋賀県国際協会の案内に基づく要点を以下にまとめます。・生活に困ったときは市役所の福祉窓口または社会福祉協議会へ相談してください。社会的包摂サポートセンター よりそいホットライン Tel: 0120-279-338。・高校生のアルバイトに関する基本は、15歳を過ぎた時点で就労が認められ、所属校の校則で許可されていれば可能ですが、年齢・契約の確認・就労時間・業務内容に制限があります。雇用契約書の確認を推奨します。闇バイトや不適切な職場環境には注意してください。滋賀労働局の窓口や多言語相談、警察の相談窓口も利用可能です。・中学校・学校生活に関する情報として、滋賀県内には公立・私立を含む多様な中学校があり、学習科目・部活動・制服・通学方法などの基本事項が説明されています。就学援助制度についても案内されています。これらは全て滋賀県国際協会の関連ページで案内があります。,"[{""sid"": ""S2"", ""question"": ""生活に困ったら"", ""answer"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}, {""sid"": ""S3"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S4"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S5"", ""question"": ""子育て応援シリーズ④ 日本の中学生活とは？"", ""answer"": ""中学校では、小学校の時とは授業内容や学校生活で様々な変化があります。安心して中学生活が送れるよう、中学校について少しご紹介しましょう！\n滋賀県には市町立中学校が93校あります。その他に国立中学校、県立中学校、私立中学校、義務教育学校（小中一貫校）、または特別支援学校あります。（2024年4月1日現在）\n市町立中学校はお住まいの学区によって行く学校が決まっています。\n国立・県立・私立中学への進学を希望する場合は受験があります。受験を希望する人は、小学校高学年くらいから学校の先生と相談して進路を決めていきましょう。\n学校生活について\nQ　中学校ではどのような教科を学びますか？\nA　中学校では主に９つの科目（国語、数学、社会、理科、英語、音楽、美術、保健体育、技術・家庭）を勉強し、教科によって先生が違います。年に4，5回定期試験（中間試験、期末試験）があります。また年に数回実力テストもあり、このテストの結果は進学先を考えるときに参考にします。成績は定期試験の結果、授業への参加状況や遅刻、欠席の状況、提出物（ノートや宿題）で評価され、高校進学にも関わる重要なものです。中学校は義務教育なので落第はありません。\nQ　部活動とは何ですか？\nA　生徒の自主的な活動として部活動があり、基本的に加入は自由です。運動部（野球、サッカー、バスケットボール、陸上、テニスなど）と文化部（美術、吹奏楽、手芸、演劇など）があり、部活動の種類は学校によって異なります。主に放課後や休日に活動します。異なる学年の生徒との交流もあり、大会やコンクールに参加することもあります。\nQ　その他学校生活について教えてください。\nA　多くの中学校では学校ごとに制服があります。制服には夏服と冬服があり、夏服は6月から１０月、冬服は10月から6月まで着ます。体操服も学校で決められたものを着ます。\n通学は学校によって自転車や電車通学が認められているところもあります。自転車通学では、鍵の取り付けやヘルメットの着用、自転車保険への加入が必要です。交通ルールを守って登下校しましょう。\n「中学生チャレンジウィーク」があります。働く大人の姿にふれ、自分の生き方を考える機会として中学２年の時期に５日間の職場体験を経験します。（滋賀県内のすべての公立中学校で実施しています）\nQ　子どもの学校での様子が気になります…。\nA　個人面談の時などで子どもの学校生活や学習についての相談ができます。中学３年生になると、三者面談があり、卒業後の進路や高校受験について生徒・保護者・先生で話し合います。また心配なことがあればその都度先生に相談しましょう。\nQ　中学校でかかる費用にはどのようなものがありますか？\nA　授業料、教科書代は無料ですが、入学準備の費用（制服、体操着、水着、体育館シューズ、カバン、部活動の道具など）や、通年の費用（給食費、副教材・学用品費、PTA会費、遠足・修学旅行費、部活動費、通学関連費など）が必要です。\n※就学援助制度：公立の中学校に就学している生徒の保護者に学用品、通学用品、PTA会費等就学に必要な費用の一部を援助する制度です。生活保護対象の保護者、およびそれに準ずる保護者が対象です。在籍している学校、または市町教育委員会にお問い合わせください。""}]"
